iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"18-May-2015"
Total Net Assets,"$71,128,331,413"
Shares Outstanding,"331,650,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","US0378331005","2046251","APPLE INC","4.0115","Equity","Information Technology","$2,854,613,509","21,926,519","130.19","NASDAQ","2,854,613,508.61"
"MSFT","US5949181045","2588173","MICROSOFT CORP","2.0835","Equity","Information Technology","$1,482,646,692","30,882,039","48.01","NASDAQ","1,482,646,692.39"
"XOM","US30231G1022","2326618","EXXON MOBIL CORP","1.9272","Equity","Energy","$1,371,391,637","15,790,347","86.85","New York Stock Exchange Inc.","1,371,391,636.95"
"JNJ","US4781601046","2475833","JOHNSON & JOHNSON","1.5212","Equity","Health Care","$1,082,472,009","10,466,757","103.42","New York Stock Exchange Inc.","1,082,472,008.94"
"GE","US3696041033","2380498","GENERAL ELECTRIC","1.4541","Equity","Industrials","$1,034,719,013","37,887,917","27.31","New York Stock Exchange Inc.","1,034,719,013.27"
"BRKB","US0846707026","2073390","BERKSHIRE HATHAWAY INC CLASS B","1.4069","Equity","Financials","$1,001,124,554","6,865,011","145.83","New York Stock Exchange Inc.","1,001,124,554.13"
"WFC","US9497461015","2649100","WELLS FARGO","1.3827","Equity","Financials","$983,958,231","17,649,475","55.75","New York Stock Exchange Inc.","983,958,231.25"
"JPM","US46625H1005","2190385","JPMORGAN CHASE & CO","1.3100","Equity","Financials","$932,184,508","14,034,696","66.42","New York Stock Exchange Inc.","932,184,508.32"
"PG","US7427181091","2704407","PROCTER & GAMBLE","1.1534","Equity","Consumer Staples","$820,777,084","10,165,681","80.74","New York Stock Exchange Inc.","820,777,083.94"
"PFE","US7170811035","2684703","PFIZER INC","1.1017","Equity","Health Care","$783,957,983","23,071,159","33.98","New York Stock Exchange Inc.","783,957,982.82"
"VZ","US92343V1044","2090571","VERIZON COMMUNICATIONS INC","1.0903","Equity","Telecommunications","$775,863,586","15,642,411","49.60","New York Stock Exchange Inc.","775,863,585.60"
"CVX","US1667641005","2838555","CHEVRON CORP","1.0608","Equity","Energy","$754,832,012","7,077,656","106.65","New York Stock Exchange Inc.","754,832,012.40"
"T","US00206R1023","2831811","AT&T INC","0.9574","Equity","Telecommunications","$681,276,112","19,537,600","34.87","New York Stock Exchange Inc.","681,276,112.00"
"BAC","US0605051046","2295677","BANK OF AMERICA CORP","0.9188","Equity","Financials","$653,784,195","39,599,285","16.51","New York Stock Exchange Inc.","653,784,195.35"
"DIS","US2546871060","2270726","WALT DISNEY","0.9126","Equity","Consumer Discretionary","$649,393,223","5,885,917","110.33","New York Stock Exchange Inc.","649,393,222.61"
"MRK","US58933Y1055","2778844","MERCK & CO INC","0.9010","Equity","Health Care","$641,143,599","10,683,946","60.01","New York Stock Exchange Inc.","641,143,599.46"
"FB","US30303M1027","B7TL820","FACEBOOK CLASS A INC","0.8982","Equity","Information Technology","$639,137,781","7,902,297","80.88","NASDAQ","639,137,781.36"
