iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"19-May-2015"
Total Net Assets,"$26,108,355,288"
Shares Outstanding,"169,650,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"QRVO","US74736K1016","BR9YYP4","QUORVO INC","0.7172","Equity","Information Technology","$187,371,442","2,339,219","80.10","NASDAQ","187,371,441.90"
"AAP","US00751Y1064","2822019","ADVANCE AUTO PARTS INC","0.6734","Equity","Consumer Discretionary","$175,913,882","1,150,215","152.94","New York Stock Exchange Inc.","175,913,882.10"
"CHD","US1713401024","2195841","CHURCH AND DWIGHT INC","0.6668","Equity","Consumer Staples","$174,189,300","2,057,030","84.68","New York Stock Exchange Inc.","174,189,300.40"
"SIG","BMG812761002","B3CTNK6","SIGNET JEWELERS LTD","0.6466","Equity","Consumer Discretionary","$168,929,401","1,263,118","133.74","New York Stock Exchange Inc.","168,929,401.32"
"WAB","US9297401088","2955733","WABTEC CORP","0.5928","Equity","Industrials","$154,853,850","1,518,175","102.00","New York Stock Exchange Inc.","154,853,850.00"
"JAH","US4711091086","2028323","JARDEN CORP.","0.5810","Equity","Consumer Discretionary","$151,771,504","2,827,338","53.68","New York Stock Exchange Inc.","151,771,503.84"
"TW","US8918941076","B5VW407","TOWERS WATSON","0.5760","Equity","Industrials","$150,482,272","1,096,410","137.25","NASDAQ","150,482,272.50"
"FRT","US3137472060","2333931","FEDERAL REALTY INVESTMENT TRUST RE","0.5654","Equity","Financials","$147,714,604","1,082,079","136.51","New York Stock Exchange Inc.","147,714,604.29"
"MTD","US5926881054","2126249","METTLER TOLEDO INC","0.5593","Equity","Health Care","$146,101,974","443,284","329.59","New York Stock Exchange Inc.","146,101,973.56"
"RKT","US7727392075","2747082","ROCK-TENN CO. CL A","0.5578","Equity","Materials","$145,720,607","2,205,215","66.08","New York Stock Exchange Inc.","145,720,607.20"
"FL","US3448491049","2980906","FOOT LOCKER INC","0.5439","Equity","Consumer Discretionary","$142,098,242","2,239,531","63.45","New York Stock Exchange Inc.","142,098,241.95"
"OCR","US6819041087","2659778","OMNICARE INC","0.5411","Equity","Health Care","$141,345,484","1,530,707","92.34","New York Stock Exchange Inc.","141,345,484.38"
"COO","US2166484020","2222631","COOPER COS.","0.5333","Equity","Health Care","$139,328,980","761,111","183.06","New York Stock Exchange Inc.","139,328,979.66"
"ALK","US0116591092","2012605","ALASKA AIR GROUP INC","0.5306","Equity","Industrials","$138,621,335","2,069,284","66.99","New York Stock Exchange Inc.","138,621,335.16"
"CDK","US12508E1010","BQXTWQ5","CDK GLOBAL INC","0.5234","Equity","Information Technology","$136,718,698","2,536,525","53.90","NASDAQ","136,718,697.50"
"LKQ","US5018892084","2971029","LKQ CORP","0.5233","Equity","Consumer Discretionary","$136,697,330","4,793,034","28.52","NASDAQ","136,697,329.68"
"ENR","US29266R1086","2569297","ENERGIZER HOLDINGS INC","0.5221","Equity","Consumer Staples","$136,383,714","979,135","139.29","New York Stock Exchange Inc.","136,383,714.15"
"HOLX","US4364401012","2433530","HOLOGIC INC.","0.5191","Equity","Health Care","$135,600,509","3,839,199","35.32","NASDAQ","135,600,508.68"
"PII","US7310681025","2692933","POLARIS INDUSTRIES INC","0.5184","Equity","Consumer Discretionary","$135,430,859","961,662","140.83","New York Stock Exchange Inc.","135,430,859.46"
"UDR","US9026531049","2727910","UDR INC.","0.5141","Equity","Financials","$134,310,208","4,078,658","32.93","New York Stock Exchange Inc.","134,310,207.94"
