iShares Core S&P Total U.S. Stock Market ETF
Inception Date,"Jan 20, 2004"
Fund Holdings as of,"19-May-2015"
Total Net Assets,"$2,314,521,157"
Shares Outstanding,"23,750,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","US0378331005","2046251","APPLE INC","3.5628","Equity","Information Technology","$82,461,779","633,980","130.07","NASDAQ","82,461,778.60"
"MSFT","US5949181045","2588173","MICROSOFT CORP","1.8357","Equity","Information Technology","$42,488,274","892,986","47.58","NASDAQ","42,488,273.88"
"XOM","US30231G1022","2326618","EXXON MOBIL CORP","1.7161","Equity","Energy","$39,719,286","456,596","86.99","New York Stock Exchange Inc.","39,719,286.04"
"JNJ","US4781601046","2475833","JOHNSON & JOHNSON","1.3595","Equity","Health Care","$31,465,157","302,666","103.96","New York Stock Exchange Inc.","31,465,157.36"
"GE","US3696041033","2380498","GENERAL ELECTRIC","1.2946","Equity","Industrials","$29,964,934","1,095,610","27.35","New York Stock Exchange Inc.","29,964,933.50"
"BRKB","US0846707026","2073390","BERKSHIRE HATHAWAY INC CLASS B","1.2568","Equity","Financials","$29,089,948","198,512","146.54","New York Stock Exchange Inc.","29,089,948.48"
"WFC","US9497461015","2649100","WELLS FARGO","1.2437","Equity","Financials","$28,784,981","510,372","56.40","New York Stock Exchange Inc.","28,784,980.80"
"JPM","US46625H1005","2190385","JPMORGAN CHASE & CO","1.1749","Equity","Financials","$27,192,725","405,801","67.01","New York Stock Exchange Inc.","27,192,725.01"
"PG","US7427181091","2704407","PROCTER & GAMBLE","1.0264","Equity","Consumer Staples","$23,756,664","293,909","80.83","New York Stock Exchange Inc.","23,756,664.47"
"PFE","US7170811035","2684703","PFIZER INC","0.9861","Equity","Health Care","$22,824,023","667,174","34.21","New York Stock Exchange Inc.","22,824,022.54"
"VZ","US92343V1044","2090571","VERIZON COMMUNICATIONS INC","0.9682","Equity","Telecommunications","$22,408,343","452,237","49.55","New York Stock Exchange Inc.","22,408,343.35"
"CVX","US1667641005","2838555","CHEVRON CORP","0.9287","Equity","Energy","$21,494,758","204,673","105.02","New York Stock Exchange Inc.","21,494,758.46"
"T","US00206R1023","2831811","AT&T INC","0.8386","Equity","Telecommunications","$19,409,976","564,736","34.37","New York Stock Exchange Inc.","19,409,976.32"
"BAC","US0605051046","2295677","BANK OF AMERICA CORP","0.8293","Equity","Financials","$19,193,600","1,144,520","16.77","New York Stock Exchange Inc.","19,193,600.40"
"DIS","US2546871060","2270726","WALT DISNEY","0.8127","Equity","Consumer Discretionary","$18,810,015","170,134","110.56","New York Stock Exchange Inc.","18,810,015.04"
