iShares U.S. Energy ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"19-May-2015"
Total Net Assets,"$2,084,605,273"
Shares Outstanding,"46,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"XOM","US30231G1022","2326618","EXXON MOBIL CORP","21.4652","Equity","Energy","$445,538,423","5,121,720","86.99","New York Stock Exchange Inc.","445,538,422.80"
"CVX","US1667641005","2838555","CHEVRON CORP","11.6154","Equity","Energy","$241,092,734","2,295,684","105.02","New York Stock Exchange Inc.","241,092,733.68"
"SLB","AN8068571086","2779201","SCHLUMBERGER NV","6.7941","Equity","Energy","$141,019,760","1,557,197","90.56","New York Stock Exchange Inc.","141,019,760.32"
"COP","US20825C1045","2685717","CONOCOPHILLIPS","4.7176","Equity","Energy","$97,919,121","1,503,672","65.12","New York Stock Exchange Inc.","97,919,120.64"
"KMI","US49456B1017","B3NQ4P8","KINDER MORGAN INC","4.2964","Equity","Energy","$89,177,816","2,080,677","42.86","New York Stock Exchange Inc.","89,177,816.22"
"OXY","US6745991058","2655408","OCCIDENTAL PETROLEUM CORP","3.4378","Equity","Energy","$71,357,022","940,889","75.84","New York Stock Exchange Inc.","71,357,021.76"
"EOG","US26875P1012","2318024","EOG RESOURCES INC","2.9121","Equity","Energy","$60,443,512","669,660","90.26","New York Stock Exchange Inc.","60,443,511.60"
"PSX","US7185461040","B78C4Y8","PHILLIPS 66","2.5803","Equity","Energy","$53,557,120","663,657","80.70","New York Stock Exchange Inc.","53,557,119.90"
"APC","US0325111070","2032380","ANADARKO PETROLEUM CORP","2.4904","Equity","Energy","$51,691,637","618,617","83.56","New York Stock Exchange Inc.","51,691,636.52"
"HAL","US4062161017","2405302","HALLIBURTON","2.2528","Equity","Energy","$46,759,900","1,037,495","45.07","New York Stock Exchange Inc.","46,759,899.65"
"WMB","US9694571004","2967181","WILLIAMS INC","2.1018","Equity","Energy","$43,626,240","821,896","53.08","New York Stock Exchange Inc.","43,626,239.68"
"VLO","US91913Y1001","2041364","VALERO ENERGY CORP","1.8139","Equity","Energy","$37,649,310","628,746","59.88","New York Stock Exchange Inc.","37,649,310.48"
"MPC","US56585A1025","B3K3L40","MARATHON PETROLEUM CORP","1.6748","Equity","Energy","$34,762,890","333,425","104.26","New York Stock Exchange Inc.","34,762,890.50"
"BHI","US0572241075","2072085","BAKER HUGHES INC","1.6478","Equity","Energy","$34,202,133","530,677","64.45","New York Stock Exchange Inc.","34,202,132.65"
