iShares U.S. Technology ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"18-May-2015"
Total Net Assets,"$3,047,119,468"
Shares Outstanding,"27,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","US0378331005","2046251","APPLE INC","20.5862","Equity","Information Technology","$628,661,863","4,828,803","130.19","NASDAQ","628,661,862.57"
"MSFT","US5949181045","2588173","MICROSOFT CORP","10.6922","Equity","Information Technology","$326,517,066","6,801,022","48.01","NASDAQ","326,517,066.22"
"FB","US30303M1027","B7TL820","FACEBOOK CLASS A INC","4.6091","Equity","Information Technology","$140,753,361","1,740,274","80.88","NASDAQ","140,753,361.12"
"IBM","US4592001014","2005973","INTERNATIONAL BUSINESS MACHINES CO","4.3185","Equity","Information Technology","$131,879,335","762,044","173.06","New York Stock Exchange Inc.","131,879,334.64"
"INTC","US4581401001","2463247","INTEL CORPORATION CORP","4.2954","Equity","Information Technology","$131,171,736","3,926,122","33.41","NASDAQ","131,171,736.02"
"GOOGL","US38259P5089","B020QX2","GOOGLE INC CLASS A","4.2378","Equity","Information Technology","$129,414,829","236,733","546.67","NASDAQ","129,414,829.11"
"GOOG","US38259P7069","BKM4JZ7","GOOGLE INC CLASS C","4.1464","Equity","Information Technology","$126,622,459","237,878","532.30","NASDAQ","126,622,459.40"
"CSCO","US17275R1023","2198163","CISCO SYSTEMS INC","4.1240","Equity","Information Technology","$125,938,428","4,231,802","29.76","NASDAQ","125,938,427.52"
"ORCL","US68389X1054","2661568","ORACLE CORP","3.8499","Equity","Information Technology","$117,567,977","2,657,504","44.24","New York Stock Exchange Inc.","117,567,976.96"
"QCOM","US7475251036","2714923","QUALCOMM INC","3.1533","Equity","Information Technology","$96,296,674","1,367,462","70.42","NASDAQ","96,296,674.04"
"EBAY","US2786421030","2293819","EBAY INC","1.7773","Equity","Information Technology","$54,275,564","912,808","59.46","NASDAQ","54,275,563.68"
"HPQ","US4282361033","2424006","HEWLETT PACKARD","1.6405","Equity","Information Technology","$50,097,176","1,506,682","33.25","New York Stock Exchange Inc.","50,097,176.50"
"TXN","US8825081040","2885409","TEXAS INSTRUMENTS INCORPORATED","1.5858","Equity","Information Technology","$48,427,561","868,033","55.79","NASDAQ","48,427,561.07"
"EMC","US2686481027","2295172","EMC CORP","1.4452","Equity","Information Technology","$44,134,110","1,648,025","26.78","New York Stock Exchange Inc.","44,134,109.50"
"CRM","US79466L3024","2310525","SALESFORCE.COM INC","1.1957","Equity","Information Technology","$36,513,131","501,554","72.80","New York Stock Exchange Inc.","36,513,131.20"
"CTSH","US1924461023","2257019","COGNIZANT TECHNOLOGY SOLUTIONS COR","1.0715","Equity","Information Technology","$32,720,114","505,408","64.74","NASDAQ","32,720,113.92"
"YHOO","US9843321061","2986539","YAHOO! INC","1.0484","Equity","Information Technology","$32,017,052","721,755","44.36","NASDAQ","32,017,051.80"
