Date,Open,High,Low,Close,Volume,Adj Close
2015-03-20,24.43,24.73,24.25,24.48,6290000,24.48
2015-03-19,24.20,24.70,24.10,24.14,6243900,24.14
2015-03-18,24.29,24.70,23.94,24.45,7778000,24.45
2015-03-17,23.78,24.47,23.78,24.46,7170100,24.46
2015-03-16,23.83,24.14,23.72,24.14,9865300,24.14
2015-03-13,23.50,23.79,23.23,23.66,7846300,23.66
2015-03-12,23.29,23.75,22.97,23.68,9222700,23.68
2015-03-11,22.38,23.47,22.38,23.20,11729600,23.20
2015-03-10,22.43,22.70,22.04,22.17,8868100,22.17
2015-03-09,22.66,23.06,22.45,22.66,8277900,22.66
2015-03-06,23.04,23.64,22.45,22.64,10585800,22.64
2015-03-05,22.63,23.26,22.36,23.17,8594100,23.17
2015-03-04,22.55,22.85,22.04,22.40,8834200,22.40
2015-03-03,22.65,22.89,22.47,22.74,6756200,22.74
2015-03-02,22.12,22.89,22.08,22.76,8061300,22.76
2015-02-27,22.41,22.50,22.07,22.14,7753900,22.14
2015-02-26,22.77,23.09,22.04,22.28,10417700,22.28
2015-02-25,23.46,23.87,22.80,22.85,12731100,22.85
2015-02-24,22.60,23.80,22.54,23.29,21790600,23.29
2015-02-23,21.97,22.70,21.91,22.46,14349100,22.46
2015-02-20,21.90,22.16,21.70,22.13,12560300,22.13
2015-02-19,21.46,22.63,21.45,21.97,15824300,21.97
2015-02-18,22.00,22.55,21.72,22.02,17340000,22.02
2015-02-17,21.63,22.10,21.30,21.82,9571500,21.82
2015-02-13,21.28,21.55,20.94,21.45,7879700,21.45
2015-02-12,20.53,21.30,20.51,21.15,11624900,21.15
2015-02-11,20.51,20.96,20.25,20.29,9747000,20.29
2015-02-10,20.83,20.83,19.86,20.47,5533100,20.47
2015-02-09,20.72,21.12,20.16,20.36,8481300,20.36
2015-02-06,20.37,20.95,20.19,20.73,8420100,20.73
2015-02-05,20.23,20.58,19.86,20.27,4875700,20.27
2015-02-04,20.28,20.68,19.75,20.02,7960400,20.02
2015-02-03,20.21,20.67,20.10,20.51,10460600,20.51
2015-02-02,18.79,20.10,18.77,19.99,11932300,19.99
2015-01-30,19.06,19.47,18.72,18.73,8804200,18.73
2015-01-29,19.11,19.27,18.43,19.19,8392700,19.19
2015-01-28,19.99,20.33,18.85,18.92,10258300,18.92
2015-01-27,19.50,20.00,19.45,19.83,7005900,19.83
2015-01-26,19.31,20.16,19.23,20.03,7609100,20.03
2015-01-23,19.21,19.49,19.00,19.35,7983100,19.35
2015-01-22,18.72,19.29,18.13,19.21,15163900,19.21
2015-01-21,18.49,19.43,18.39,18.70,23637900,18.70
2015-01-20,19.28,19.32,18.13,18.56,9595300,18.56
2015-01-16,19.04,19.54,18.88,19.12,11528300,19.12
2015-01-15,21.05,21.15,18.93,19.00,17107000,19.00
2015-01-14,19.90,21.02,19.81,20.89,9576900,20.89
2015-01-13,20.12,21.08,20.11,20.51,14510000,20.51
2015-01-12,19.79,19.98,18.81,19.92,12501300,19.92
2015-01-09,19.30,19.54,18.92,19.42,10118400,19.42
2015-01-08,18.50,19.15,18.30,19.09,8370300,19.09
2015-01-07,17.59,18.41,17.59,18.16,10114800,18.16
2015-01-06,18.62,18.80,17.09,17.59,15389100,17.59
2015-01-05,19.38,19.49,18.30,18.73,9708500,18.73
2015-01-02,19.74,19.79,19.00,19.71,7328400,19.71
2014-12-31,19.17,19.79,18.80,19.51,9751400,19.51
2014-12-30,19.68,19.75,19.04,19.10,5575000,19.10
2014-12-29,19.96,20.05,19.60,19.80,7297000,19.80
2014-12-26,19.70,20.18,19.65,19.99,5987500,19.99
2014-12-24,19.46,19.83,19.44,19.50,2421900,19.50
2014-12-23,19.27,19.57,18.84,19.49,7608200,19.49
2014-12-22,19.50,19.79,19.16,19.22,5019600,19.22
2014-12-19,19.62,19.82,19.28,19.65,8629600,19.65
2014-12-18,19.76,20.07,19.12,19.50,10504500,19.50
2014-12-17,18.18,19.27,17.96,19.20,14918400,19.20
2014-12-16,17.75,18.73,17.57,18.19,11204200,18.19
2014-12-15,18.75,19.14,18.00,18.00,14384100,18.00
2014-12-12,18.75,19.31,18.52,18.55,14471900,18.55
2014-12-11,19.21,19.89,18.92,19.02,13165600,19.02
2014-12-10,19.74,20.05,19.06,19.22,8054700,19.22
2014-12-09,19.17,20.12,18.53,20.03,13952600,20.03
2014-12-08,20.70,21.12,19.53,19.65,10514500,19.65
2014-12-05,20.96,21.10,20.85,20.97,5302000,20.97
2014-12-04,21.23,21.32,20.70,20.85,7193200,20.85
2014-12-03,21.29,21.59,21.13,21.25,11685800,21.25
2014-12-02,20.73,21.44,20.70,21.32,9421200,21.32
2014-12-01,21.19,21.31,20.20,20.64,13384100,20.64
2014-11-28,22.00,22.00,21.11,21.65,7611300,21.65
2014-11-26,22.53,23.18,22.46,22.71,6406700,22.71
2014-11-25,22.86,23.01,22.41,22.67,12951500,22.67
2014-11-24,22.73,23.03,22.39,22.89,10583100,22.89
2014-11-21,22.73,23.19,22.53,22.86,18029600,22.86
2014-11-20,21.18,22.27,20.89,22.12,13420400,22.12
2014-11-19,22.21,22.39,20.75,21.53,31203700,21.53
2014-11-18,19.14,21.83,18.81,21.48,64473400,21.48
2014-11-17,16.96,17.33,16.41,16.61,12013800,16.61
2014-11-14,16.67,17.13,15.86,16.93,16225900,16.93
2014-11-13,17.76,18.15,16.58,16.84,16054400,16.84
2014-11-12,18.10,18.14,17.51,17.87,7493900,17.87
2014-11-11,17.93,18.18,17.65,17.81,8239600,17.81
2014-11-10,18.06,18.24,17.59,18.00,10162700,18.00
2014-11-07,18.37,18.59,17.87,18.06,11018300,18.06
2014-11-06,19.15,19.64,18.08,18.37,18208000,18.37
2014-11-05,19.84,19.84,18.55,18.88,13843400,18.88
2014-11-04,19.84,20.01,19.37,19.65,7616700,19.65
2014-11-03,19.51,20.24,19.50,20.01,8985000,20.01
2014-10-31,19.20,19.70,18.99,19.51,8770600,19.51
2014-10-30,18.85,19.02,18.32,18.95,7788000,18.95
2014-10-29,19.09,19.23,18.43,18.75,9119500,18.75
2014-10-28,19.00,19.50,18.86,19.06,14540900,19.06
2014-10-27,18.66,18.82,18.27,18.70,8620500,18.70
2014-10-24,18.78,18.96,18.46,18.87,7804400,18.87
2014-10-23,18.92,19.25,18.56,18.69,12781200,18.69
2014-10-22,19.12,19.27,18.05,18.23,17641100,18.23
2014-10-21,18.50,19.41,18.01,19.05,28663300,19.05
2014-10-20,16.58,18.34,16.45,17.90,25391600,17.90
2014-10-17,16.95,18.64,16.43,16.62,23813700,16.62
2014-10-16,14.49,16.46,14.46,15.57,18800700,15.57
2014-10-15,14.21,15.42,13.91,15.11,19509100,15.11
2014-10-14,14.82,15.17,13.09,14.80,38755200,14.80
2014-10-13,16.00,16.18,14.25,14.30,22847700,14.30
2014-10-10,16.79,16.95,15.99,16.00,21339700,16.00
2014-10-09,18.20,18.20,16.89,16.95,15410200,16.95
2014-10-08,17.70,18.39,17.01,18.36,14160000,18.36
2014-10-07,18.00,18.50,17.66,17.69,10472700,17.69
2014-10-06,18.70,18.81,17.42,18.21,14484900,18.21
2014-10-03,18.57,18.96,18.22,18.62,8994700,18.62
2014-10-02,18.18,18.52,17.54,18.29,11764500,18.29
2014-10-01,19.30,19.35,18.05,18.28,16935200,18.28
2014-09-30,19.79,19.82,18.72,18.88,13569900,18.88
2014-09-29,19.99,20.46,19.46,19.80,10684800,19.80
2014-09-26,19.52,19.69,19.28,19.39,6273700,19.39
2014-09-25,20.09,20.29,19.30,19.42,10481900,19.42
2014-09-24,19.46,21.39,19.12,20.28,31204300,20.28
2014-09-23,19.39,20.07,19.29,19.30,9800500,19.30
2014-09-22,20.37,20.37,19.32,19.50,12940500,19.50
2014-09-19,21.00,21.00,20.07,20.40,9839200,20.40
2014-09-18,20.83,21.30,20.75,20.79,7922800,20.79
2014-09-17,20.58,21.07,20.48,20.72,8247300,20.72
2014-09-16,19.94,20.57,19.85,20.39,9848000,20.39
2014-09-15,20.98,20.98,19.93,20.15,9790700,20.15
2014-09-12,21.16,21.37,20.91,20.99,7145400,20.99
2014-09-11,20.95,21.29,20.85,21.24,4760500,21.24
2014-09-10,21.43,21.46,20.80,21.00,8605400,21.00
2014-09-09,21.83,21.93,20.68,20.84,11459600,20.84
2014-09-08,21.92,22.27,21.69,21.91,7018300,21.91
2014-09-05,21.64,21.97,21.48,21.97,4849400,21.97
2014-09-04,21.74,22.31,21.55,21.67,7601300,21.67
2014-09-03,21.79,22.04,21.41,21.60,6756000,21.60
2014-09-02,21.97,22.03,21.26,21.57,10735700,21.57
2014-08-29,22.18,22.43,21.95,22.03,4218000,22.03
2014-08-28,22.16,22.49,21.85,22.09,4261600,22.09
2014-08-27,22.51,22.62,22.20,22.28,4681500,22.28
2014-08-26,22.61,22.80,22.40,22.62,8390700,22.62
2014-08-25,22.75,23.07,22.49,22.51,5476300,22.51
2014-08-22,22.15,22.79,22.13,22.72,7970300,22.72
2014-08-21,22.54,22.73,21.93,22.23,8898700,22.23
2014-08-20,21.72,22.53,21.49,22.38,8493200,22.38
2014-08-19,22.00,22.38,21.85,21.95,7695800,21.95
2014-08-18,21.54,22.05,21.30,21.97,7702800,21.97
2014-08-15,21.50,21.90,21.01,21.34,8614000,21.34
2014-08-14,21.25,22.34,20.88,21.33,13409000,21.33
2014-08-13,20.38,21.30,20.25,21.15,12848400,21.15
2014-08-12,21.80,21.89,20.61,20.82,11236200,20.82
2014-08-11,21.61,22.04,21.54,21.65,9221900,21.65
2014-08-08,21.60,21.82,21.32,21.41,9879800,21.41
2014-08-07,21.01,22.46,20.90,21.59,35222600,21.59
2014-08-06,19.15,19.88,19.10,19.32,12280100,19.32
2014-08-05,19.37,19.97,19.20,19.37,11884500,19.37
2014-08-04,19.60,19.60,19.14,19.33,9802300,19.33
2014-08-01,19.75,20.37,19.06,19.47,16785600,19.47
2014-07-31,20.87,20.88,19.86,20.00,11806000,20.00
2014-07-30,21.31,21.47,20.90,21.04,8021200,21.04
2014-07-29,21.60,21.67,21.18,21.28,7614400,21.28
2014-07-28,20.95,21.83,20.75,21.47,8705600,21.47
2014-07-25,21.15,21.55,20.83,20.95,9912700,20.95
2014-07-24,21.77,22.00,21.01,21.25,15699600,21.25
2014-07-23,22.44,22.45,21.58,21.66,11749900,21.66
2014-07-22,22.75,22.90,22.33,22.38,9204500,22.38
2014-07-21,22.57,22.89,22.23,22.38,9712300,22.38
2014-07-18,23.51,24.32,22.05,22.65,30250800,22.65
2014-07-17,23.50,24.25,22.86,22.99,16017500,22.99
2014-07-16,23.53,23.75,23.15,23.44,15490700,23.44
2014-07-15,23.96,24.16,23.14,23.35,12264200,23.35
2014-07-14,24.31,24.35,23.61,23.75,12719600,23.75
2014-07-11,23.07,24.25,23.05,24.05,14745900,24.05
2014-07-10,22.23,23.73,22.20,23.23,15989600,23.23
2014-07-09,21.85,23.11,21.58,23.06,15812600,23.06
2014-07-08,22.14,22.24,21.00,21.64,19535800,21.64
2014-07-07,22.56,22.91,21.81,21.90,8700400,21.90
2014-07-03,22.94,23.14,22.39,22.66,4763800,22.66
2014-07-02,23.40,23.64,22.80,22.89,11091200,22.89
2014-07-01,22.98,23.39,22.74,23.12,10615100,23.12
2014-06-30,23.05,23.25,22.31,22.60,11993400,22.60
2014-06-27,22.33,23.13,22.31,22.87,38920300,22.87
2014-06-26,22.16,22.67,21.79,22.46,11778300,22.46
2014-06-25,21.34,22.21,21.13,22.18,12972100,22.18
2014-06-24,22.10,22.56,21.25,21.38,10969100,21.38
2014-06-23,22.40,22.88,22.01,22.21,11839100,22.21
2014-06-20,21.92,22.68,21.87,22.38,11910200,22.38
2014-06-19,22.24,22.41,21.79,22.05,7338300,22.05
2014-06-18,22.31,22.41,21.69,22.18,13713200,22.18
2014-06-17,21.36,22.65,21.27,22.15,19933500,22.15
2014-06-16,20.00,21.70,20.00,21.51,20865000,21.51
2014-06-13,19.36,19.71,19.20,19.39,9398500,19.39
2014-06-12,19.31,19.92,19.15,19.28,12286300,19.28
2014-06-11,19.10,19.39,18.82,19.30,11295600,19.30
2014-06-10,19.60,19.79,19.03,19.26,10559000,19.26
2014-06-09,19.50,20.24,19.48,19.83,9893100,19.83
2014-06-06,20.31,20.67,19.54,19.62,10313200,19.62
2014-06-05,20.59,20.74,19.88,20.26,22679300,20.26
2014-06-04,18.80,20.82,18.77,20.67,26983900,20.67
2014-06-03,19.41,19.72,19.22,19.49,8068400,19.49
2014-06-02,19.71,20.00,19.26,19.58,5536100,19.58
2014-05-30,20.42,20.50,19.67,19.69,11855800,19.69
2014-05-29,19.85,21.50,19.78,20.50,19271200,20.50
2014-05-28,19.29,19.63,19.03,19.47,6298700,19.47
2014-05-27,19.78,19.84,19.17,19.38,8455100,19.38
2014-05-23,18.93,19.52,18.85,19.52,6932100,19.52
2014-05-22,18.57,19.30,18.33,19.03,9924500,19.03
2014-05-21,17.80,18.74,17.74,18.55,10903300,18.55
2014-05-20,18.04,18.58,17.34,17.57,13361000,17.57
2014-05-19,17.37,18.39,17.37,18.18,7045400,18.18
2014-05-16,17.37,17.61,16.88,17.60,8080400,17.60
2014-05-15,17.90,17.90,16.91,17.40,11059400,17.40
2014-05-14,17.98,18.53,17.70,18.07,7068200,18.07
2014-05-13,17.73,18.97,17.68,18.12,12297500,18.12
2014-05-12,17.25,17.98,17.12,17.88,13192100,17.88
2014-05-09,17.00,17.20,16.32,16.74,19316600,16.74
2014-05-08,16.76,18.59,16.61,17.11,28696900,17.11
2014-05-07,20.10,20.15,17.76,18.31,21018500,18.31
2014-05-06,20.24,20.89,19.78,19.84,8474800,19.84
2014-05-05,19.67,20.28,19.55,20.26,6903000,20.26
2014-05-02,20.40,20.57,19.99,20.23,8643500,20.23
2014-05-01,19.34,20.73,19.25,20.32,15849800,20.32
2014-04-30,19.05,19.31,18.55,19.23,6381100,19.23
2014-04-29,18.88,19.53,18.70,19.31,7728800,19.31
2014-04-28,19.77,19.90,18.21,18.82,15256900,18.82
2014-04-25,20.02,20.31,19.50,19.77,10439000,19.77
2014-04-24,20.54,20.79,19.70,20.26,12768900,20.26
2014-04-23,20.20,20.65,19.81,20.33,26802400,20.33
2014-04-22,17.97,20.19,17.96,20.06,33421500,20.06
2014-04-21,17.92,18.13,17.44,17.93,4593500,17.93
2014-04-17,17.40,18.09,17.22,17.66,9626000,17.66
2014-04-16,17.01,17.80,16.62,17.62,8101400,17.62
2014-04-15,16.91,17.22,16.09,16.88,11093400,16.88
2014-04-14,17.13,17.43,16.59,16.87,10961100,16.87
2014-04-11,16.95,17.61,16.61,16.85,11773200,16.85
2014-04-10,18.53,18.54,17.15,17.33,15659100,17.33
2014-04-09,17.30,18.55,17.26,18.46,12871600,18.46
2014-04-08,17.42,17.78,16.89,17.26,18264100,17.26
2014-04-07,18.69,18.92,16.83,17.41,19670900,17.41
2014-04-04,19.43,19.75,17.95,18.93,14013900,18.93
2014-04-03,20.10,20.30,18.97,19.17,10047500,19.17
2014-04-02,20.18,20.20,19.48,19.84,9322100,19.84
2014-04-01,19.02,19.84,19.02,19.72,14773900,19.72
2014-03-31,19.15,19.45,18.46,18.84,12936700,18.84
2014-03-28,18.63,19.27,18.55,18.86,13404500,18.86
2014-03-27,18.06,18.70,17.27,18.45,19364800,18.45
2014-03-26,19.60,19.84,18.05,18.15,16203400,18.15
2014-03-25,19.68,20.12,19.03,19.36,8533500,19.36
2014-03-24,20.39,20.60,18.88,19.49,14823200,19.49
2014-03-21,21.64,21.70,19.99,20.33,12881400,20.33
2014-03-20,21.16,21.76,20.66,21.48,11747400,21.48
2014-03-19,20.76,21.40,20.61,20.68,9033600,20.68
2014-03-18,20.48,21.32,20.37,20.89,11144700,20.89
2014-03-17,20.63,20.78,20.05,20.49,7175200,20.49
2014-03-14,19.39,20.29,19.39,19.97,7333900,19.97
2014-03-13,20.53,20.87,19.32,19.73,11279300,19.73
2014-03-12,19.86,20.75,19.58,20.37,11736600,20.37
2014-03-11,20.44,20.86,19.54,20.06,11814300,20.06
2014-03-10,20.85,21.39,19.89,20.39,13524300,20.39
2014-03-07,21.47,21.90,20.72,21.11,14101600,21.11
2014-03-06,21.01,21.93,20.86,21.09,17417200,21.09
