iShares Core Dividend Growth ETF
Inception Date,"Jun 10, 2014"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$198,735,737"
Shares Outstanding,"7,600,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"PFE","PFIZER INC","US7170811035","2684703","3.0518","Health Care","Equity","$6,109,889","170,572","35.82","New York Stock Exchange Inc.","6,109,889.04"
"MSFT","MICROSOFT CORP","US5949181045","2588173","3.0363","Information Technology","Equity","$6,078,964","127,763","47.58","NASDAQ","6,078,963.54"
"KO","COCA-COLA","US1912161007","2206657","3.0236","Consumer Staples","Equity","$6,053,529","143,721","42.12","New York Stock Exchange Inc.","6,053,528.52"
"JNJ","JOHNSON & JOHNSON","US4781601046","2475833","2.9951","Health Care","Equity","$5,996,420","59,654","100.52","New York Stock Exchange Inc.","5,996,420.08"
"GE","GENERAL ELECTRIC","US3696041033","2380498","2.7980","Industrials","Equity","$5,601,921","214,633","26.10","New York Stock Exchange Inc.","5,601,921.30"
"PG","PROCTER & GAMBLE","US7427181091","2704407","2.7892","Consumer Staples","Equity","$5,584,249","73,700","75.77","New York Stock Exchange Inc.","5,584,249.00"
"XOM","EXXON MOBIL CORP","US30231G1022","2326618","2.7260","Energy","Equity","$5,457,617","70,722","77.17","New York Stock Exchange Inc.","5,457,616.74"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","US4592001014","2005973","2.7000","Information Technology","Equity","$5,405,549","34,234","157.90","New York Stock Exchange Inc.","5,405,548.60"
"PEP","PEPSICO INC","US7134481081","2681511","2.4838","Consumer Staples","Equity","$4,972,791","50,134","99.19","New York Stock Exchange Inc.","4,972,791.46"
"ABBV","ABBVIE INC","US00287Y1091","B92SR70","2.1936","Health Care","Equity","$4,391,711","62,471","70.30","New York Stock Exchange Inc.","4,391,711.30"
"MCD","MCDONALDS CORP","US5801351017","2550707","2.0708","Consumer Discretionary","Equity","$4,145,991","41,543","99.80","New York Stock Exchange Inc.","4,145,991.40"
"HD","HOME DEPOT INC","US4370761029","2434209","1.9749","Consumer Discretionary","Equity","$3,953,944","33,508","118.00","New York Stock Exchange Inc.","3,953,944.00"
"WMT","WALMART STORES INC","US9311421039","2936921","1.8920","Consumer Staples","Equity","$3,787,897","51,529","73.51","New York Stock Exchange Inc.","3,787,896.79"
"QCOM","QUALCOMM INC","US7475251036","2714923","1.5773","Information Technology","Equity","$3,157,844","49,434","63.88","NASDAQ","3,157,843.92"
"CMCSA","COMCAST A CORP","US20030N1019","2044545","1.5671","Consumer Discretionary","Equity","$3,137,513","52,458","59.81","NASDAQ","3,137,512.98"
"MMM","3M CO","US88579Y1010","2595708","1.4994","Industrials","Equity","$3,001,928","19,879","151.01","New York Stock Exchange Inc.","3,001,927.79"
"UPS","UNITED PARCEL SERVICE INC CLASS B","US9113121068","2517382","1.2612","Industrials","Equity","$2,525,015","24,529","102.94","New York Stock Exchange Inc.","2,525,015.26"
"OXY","OCCIDENTAL PETROLEUM CORP","US6745991058","2655408","1.1705","Energy","Equity","$2,343,366","34,130","68.66","New York Stock Exchange Inc.","2,343,365.80"
"UNP","UNION PACIFIC CORP","US9078181081","2914734","1.1165","Industrials","Equity","$2,235,286","23,512","95.07","New York Stock Exchange Inc.","2,235,285.84"
"MDT","MEDTRONIC PLC","IE00BTN1Y115","BTN1Y11","1.0913","Health Care","Equity","$2,184,823","27,772","78.67","New York Stock Exchange Inc.","2,184,823.24"
"UTX","UNITED TECHNOLOGIES CORP","US9130171096","2915500","1.0834","Industrials","Equity","$2,169,109","21,939","98.87","New York Stock Exchange Inc.","2,169,108.93"
"LMT","LOCKHEED MARTIN CORP","US5398301094","2522096","1.0776","Industrials","Equity","$2,157,548","10,302","209.43","New York Stock Exchange Inc.","2,157,547.86"
"ORCL","ORACLE CORP","US68389X1054","2661568","1.0486","Information Technology","Equity","$2,099,334","52,960","39.64","New York Stock Exchange Inc.","2,099,334.40"
"CVS","CVS HEALTH CORP","US1266501006","2577609","1.0434","Consumer Staples","Equity","$2,089,003","18,786","111.20","New York Stock Exchange Inc.","2,089,003.20"
"D","DOMINION RESOURCES INC","US25746U1097","2542049","0.9926","Utilities","Equity","$1,987,285","27,927","71.16","New York Stock Exchange Inc.","1,987,285.32"
"UNH","UNITEDHEALTH GROUP INC","US91324P1021","2917766","0.9054","Health Care","Equity","$1,812,578","14,627","123.92","New York Stock Exchange Inc.","1,812,577.84"
