iShares MSCI Mexico Capped ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"12-May-2015"
Total Net Assets,"$1,801,517,140"
Shares Outstanding,"30,400,000"
Stock,"99.32"
Bond,"0.00"
Cash,"0.04"
Other,"0.64"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"AMXL","MXP001691213","2667470","AMERICA MOVIL L","15.1528","Equity","Telecommunication Services","Mexico","$272,980,065","268,879,218","1.02","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"TLEVISACPO","MXP4987V1378","2380108","GRUPO TELEVISA","7.5586","Equity","Consumer Discretionary","Mexico","$136,170,302","18,777,697","7.25","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"FEMSAUBD","MXP320321310","2242059","FOMENTO ECONOMICO MEXICANO","7.4138","Equity","Consumer Staples","Mexico","$133,561,433","14,214,010","9.40","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"GFNORTEO","MXP370711014","2421041","GPO FINANCE BANORTE","5.4799","Equity","Financials","Mexico","$98,721,229","16,991,278","5.81","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"WALMEX*","MX01WA000038","BW1YVH8","WALMART DE MEXICO V","4.7751","Equity","Consumer Staples","Mexico","$86,023,870","35,079,233","2.45","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"CEMEXCPO","MXP225611567","2406457","CEMEX CPO","4.7362","Equity","Materials","Mexico","$85,324,092","84,860,904","1.01","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"GMEXICOB","MXP370841019","2643674","GRUPO MEXICO B","4.5885","Equity","Materials","Mexico","$82,663,493","25,681,686","3.22","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"ALFAA","MXP000511016","2043423","ALFA A","3.1531","Equity","Industrials","Mexico","$56,803,223","27,341,951","2.08","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"FUNO11","MXCFFU000001","B671GT8","FIBRA UNO ADMINISTRACION REIT SA","3.1264","Equity","Financials","Mexico","$56,323,361","21,928,600","2.57","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"GFINBURO","MXP370641013","2822398","GRUPO FINANCIERO INBURSA SRIES O O","2.9829","Equity","Financials","Mexico","$53,738,084","22,353,992","2.40","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"BIMBOA","MXP495211262","2392471","GRUPO BIMBO A","2.4508","Equity","Consumer Staples","Mexico","$44,150,986","16,150,804","2.73","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"SANMEXB","MXP690491412","2374521","GRUPO FINANCIERO SANTANDER MEXICO","1.9925","Equity","Financials","Mexico","$35,895,881","18,247,450","1.97","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"KIMBERA","MXP606941179","2491914","KIMBERLY-CLARK DE MEXICO CLASS A O","1.9894","Equity","Consumer Staples","Mexico","$35,839,213","15,751,154","2.28","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"ASURB","MXP001661018","2639349","GRUPO AEROPORTUARIO DEL SURESTE B","1.7722","Equity","Industrials","Mexico","$31,927,078","2,173,465","14.69","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"PINFRA*","MX01PI000005","2393388","PROMOTORA Y OPERADORA DE INFRAESTR","1.7030","Equity","Industrials","Mexico","$30,679,957","2,744,300","11.18","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"MEXCHEM*","MX01ME050007","2434760","MEXICHEM SA DE CV","1.6093","Equity","Materials","Mexico","$28,991,206","9,956,074","2.91","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"AC*","MX01AC100006","2823885","ARCA CONTINENTAL","1.5108","Equity","Consumer Staples","Mexico","$27,217,397","4,293,229","6.34","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"GCARSOA1","MXP461181085","2393452","GRUPO CARSO SERIES A1","1.4304","Equity","Industrials","Mexico","$25,769,360","6,120,233","4.21","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"PE&OLES*","MXP554091415","2448200","INDUST PENOLES","1.4291","Equity","Materials","Mexico","$25,746,322","1,457,553","17.66","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"GAPB","MX01GA000004","B0ZV104","GRUPO AEROPORTUARIO DEL PACIFICO O","1.3674","Equity","Industrials","Mexico","$24,634,430","3,426,049","7.19","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
