iShares MSCI Mexico Capped ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$1,357,998,439"
Shares Outstanding,"24,400,000"
Stock,"99.82"
Bond,"0.00"
Cash,"0.00"
Other,"0.18"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"AMXL","AMERICA MOVIL L","MXP001691213","2667470","15.1835","Telecommunication Services","Equity","Mexico","$206,694,746","213,232,918","0.97","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"TLEVISACPO","GRUPO TELEVISA","MXP4987V1378","2380108","7.1466","Consumer Discretionary","Equity","Mexico","$97,287,476","14,647,697","6.64","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","MXP320321310","2242059","7.2779","Consumer Staples","Equity","Mexico","$99,075,160","10,893,610","9.09","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O O","MXP370641013","2822398","2.9348","Financials","Equity","Mexico","$39,951,382","17,944,692","2.23","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A O","MXP606941179","2491914","2.1518","Consumer Staples","Equity","Mexico","$29,293,242","12,644,054","2.32","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"GFNORTEO","GPO FINANCE BANORTE","MXP370711014","2421041","5.1370","Financials","Equity","Mexico","$69,931,258","13,639,678","5.13","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","MX01PI000005","2393388","1.8424","Industrials","Equity","Mexico","$25,081,384","2,203,200","11.38","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"WALMEX*","WALMART DE MEXICO V","MX01WA000038","BW1YVH8","5.0109","Consumer Staples","Equity","Mexico","$68,213,971","28,159,333","2.42","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO O","MX01GA000004","B0ZV104","1.6516","Industrials","Equity","Mexico","$22,482,965","2,750,849","8.17","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"CEMEXCPO","CEMEX CPO","MXP225611567","2406457","4.0498","Materials","Equity","Mexico","$55,130,103","68,120,004","0.81","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"GCARSOA1","GRUPO CARSO SERIES A1","MXP461181085","2393452","1.6383","Industrials","Equity","Mexico","$22,302,051","4,912,933","4.54","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"GRUMAB","GRUMA","MXP4948K1056","2392545","1.5963","Consumer Staples","Equity","Mexico","$21,730,455","1,627,200","13.35","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"GMEXICOB","GRUPO MEXICO B","MXP370841019","2643674","3.9340","Materials","Equity","Mexico","$53,554,652","20,447,686","2.62","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"ALFAA","ALFA A","MXP000511016","2043423","3.3020","Industrials","Equity","Mexico","$44,950,620","21,948,451","2.05","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
