iShares Nasdaq Biotechnology ETF
Inception Date,"Feb 5, 2001"
Fund Holdings as of,"12-May-2015"
Total Net Assets,"$8,631,307,043"
Shares Outstanding,"24,600,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"GILD","US3755581036","2369174","GILEAD SCIENCES INC","8.1272","Equity","Health Care","$702,784,279","6,657,676","105.56","NASDAQ","702,784,278.56"
"AMGN","US0311621009","2023607","AMGEN INC","7.9972","Equity","Health Care","$691,541,081","4,370,204","158.24","NASDAQ","691,541,080.96"
"BIIB","US09062X1037","2455965","BIOGEN INC INC","7.6929","Equity","Health Care","$665,223,885","1,682,833","395.30","NASDAQ","665,223,884.90"
"CELG","US1510201049","2182348","CELGENE CORP","7.4496","Equity","Health Care","$644,184,985","5,671,641","113.58","NASDAQ","644,184,984.78"
"REGN","US75886F1075","2730190","REGENERON PHARMACEUTICALS INC","7.0342","Equity","Health Care","$608,269,911","1,268,815","479.40","NASDAQ","608,269,911.00"
"MYL","NL0011031208","BVFMFG8","MYLAN NV","5.1928","Equity","Health Care","$449,039,819","6,384,755","70.33","NASDAQ","449,039,819.15"
"VRTX","US92532F1003","2931034","VERTEX PHARMACEUTICALS INC","4.1423","Equity","Health Care","$358,197,246","2,886,825","124.08","NASDAQ","358,197,246.00"
"ILMN","US4523271090","2613990","ILLUMINA INC","4.0166","Equity","Health Care","$347,329,610","1,763,363","196.97","NASDAQ","347,329,610.11"
"ALXN","US0153511094","2036070","ALEXION PHARMACEUTICALS INC","3.5596","Equity","Health Care","$307,813,410","1,910,935","161.08","NASDAQ","307,813,409.80"
"BMRN","US09061G1013","2437071","BIOMARIN PHARMACEUTICAL INC","2.9050","Equity","Health Care","$251,206,170","2,074,541","121.09","NASDAQ","251,206,169.69"
"INCY","US45337C1027","2471950","INCYTE CORP","2.7213","Equity","Health Care","$235,320,225","2,241,145","105.00","NASDAQ","235,320,225.00"
"ENDP","IE00BJ3V9050","BJ3V905","ENDO INTERNATIONAL PLC","2.2046","Equity","Health Care","$190,641,785","2,253,449","84.60","NASDAQ","190,641,785.40"
"SHPG","US82481R1068","B39JBM7","SHIRE ADR REPRESENTING PLC","1.7658","Equity","Health Care","$152,691,015","625,424","244.14","NASDAQ","152,691,015.36"
"JAZZ","IE00B4Q5ZN47","B4Q5ZN4","JAZZ PHARMACEUTICALS PLC","1.6163","Equity","Health Care","$139,764,242","791,417","176.60","NASDAQ","139,764,242.20"
