iShares Nasdaq Biotechnology ETF
Inception Date,"Feb 5, 2001"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$9,633,403,272"
Shares Outstanding,"25,950,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"CELG","CELGENE CORP","US1510201049","2182348","8.6528","Health Care","Equity","$867,814,273","6,538,685","132.72","NASDAQ","867,814,273.20"
"AMGN","AMGEN INC","US0311621009","2023607","8.4246","Health Care","Equity","$844,925,815","4,788,743","176.44","NASDAQ","844,925,814.92"
"GILD","GILEAD SCIENCES INC","US3755581036","2369174","7.8857","Health Care","Equity","$790,883,139","6,665,120","118.66","NASDAQ","790,883,139.20"
"REGN","REGENERON PHARMACEUTICALS INC","US75886F1075","2730190","7.7600","Health Care","Equity","$778,275,571","1,313,767","592.40","NASDAQ","778,275,570.80"
"BIIB","BIOGEN INC INC","US09062X1037","2455965","6.3040","Health Care","Equity","$632,242,148","1,884,983","335.41","NASDAQ","632,242,148.03"
"ALXN","ALEXION PHARMACEUTICALS INC","US0153511094","2036070","5.1000","Health Care","Equity","$511,496,556","2,584,099","197.94","NASDAQ","511,496,556.06"
"VRTX","VERTEX PHARMACEUTICALS INC","US92532F1003","2931034","4.1070","Health Care","Equity","$411,901,599","2,916,737","141.22","NASDAQ","411,901,599.14"
"ILMN","ILLUMINA INC","US4523271090","2613990","3.9080","Health Care","Equity","$391,947,363","1,815,748","215.86","NASDAQ","391,947,363.28"
"BMRN","BIOMARIN PHARMACEUTICAL INC","US09061G1013","2437071","3.1123","Health Care","Equity","$312,141,431","2,172,779","143.66","NASDAQ","312,141,431.14"
"MYL","MYLAN NV","NL0011031208","BVFMFG8","2.8050","Health Care","Equity","$281,323,661","5,152,448","54.60","NASDAQ","281,323,660.80"
"INCY","INCYTE CORP","US45337C1027","2471950","2.6845","Health Care","Equity","$269,239,336","2,426,454","110.96","NASDAQ","269,239,335.84"
"ENDP","ENDO INTERNATIONAL PLC","IE00BJ3V9050","BJ3V905","2.4144","Health Care","Equity","$242,145,591","2,820,566","85.85","NASDAQ","242,145,591.10"
"SHPG","SHIRE ADR REPRESENTING PLC","US82481R1068","B39JBM7","1.6983","Health Care","Equity","$170,324,105","671,228","253.75","NASDAQ","170,324,105.00"
"JAZZ","JAZZ PHARMACEUTICALS PLC","IE00B4Q5ZN47","B4Q5ZN4","1.5839","Health Care","Equity","$158,849,639","827,773","191.90","NASDAQ","158,849,638.70"
"ALNY","ALNYLAM PHARMACEUTICALS INC.","US02043Q1076","B00FWN1","1.4551","Health Care","Equity","$145,935,740","1,142,533","127.73","NASDAQ","145,935,740.09"
"ALKS","ALKERMES PLC","IE00B56GVS15","B3P6D26","1.4499","Health Care","Equity","$145,411,724","2,014,850","72.17","NASDAQ","145,411,724.50"
"MDVN","MEDIVATION INC.","US58501N1019","B033T75","1.1511","Health Care","Equity","$115,445,829","1,066,967","108.20","NASDAQ","115,445,829.40"
"UTHR","UNITED THERAPEUTICS CORP.","US91307C1027","2430412","1.0407","Health Care","Equity","$104,379,050","626,713","166.55","NASDAQ","104,379,050.15"
"RCPT","RECEPTOS INC","US7562071065","B7ZKF53","0.9769","Health Care","Equity","$97,973,057","427,886","228.97","NASDAQ","97,973,057.42"
