iShares Europe ETF
Inception Date,"Jul 25, 2000"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$2,970,539,105"
Shares Outstanding,"63,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"NOVN","CH0012005267","7103065","NOVARTIS AG","3.2159","Equity","Health Care","Switzerland","$95,954,202","936,130","102.50","Six Swiss Exchange Ag","USD","CHF","0.93","95,954,202.32"
"NESN","CH0038863350","7123870","NESTLE SA","2.9100","Equity","Consumer Staples","Switzerland","$86,826,807","1,115,841","77.81","Six Swiss Exchange Ag","USD","CHF","0.93","86,826,807.32"
"ROG","CH0012032048","7110388","ROCHE HOLDING AG","2.3419","Equity","Health Care","Switzerland","$69,874,836","244,248","286.08","Six Swiss Exchange Ag","USD","CHF","0.93","69,874,836.18"
"HSBA","GB0005405286","0540528","HSBC HOLDINGS PLC","2.1758","Equity","Financials","United Kingdom","$64,920,405","6,597,913","9.84","London Stock Exchange","USD","GBP","0.64","64,920,405.46"
"BP","GB0007980591","0798059","BP PLC","1.5036","Equity","Energy","United Kingdom","$44,864,212","6,298,943","7.12","London Stock Exchange","USD","GBP","0.64","44,864,212.38"
"FP","FR0000120271","B15C557","TOTAL SA","1.4622","Equity","Energy","France","$43,628,962","823,400","52.99","Nyse Euronext - Euronext Paris","USD","EUR","0.90","43,628,962.44"
"RDSA","GB00B03MLX29","B03MLX2","ROYAL DUTCH SHELL PLC CLASS A","1.4434","Equity","Energy","United Kingdom","$43,068,105","1,348,736","31.93","London Stock Exchange","USD","GBP","0.64","43,068,105.00"
"BAYN","DE000BAY0017","5069211","BAYER AG","1.4140","Equity","Health Care","Germany","$42,189,509","285,748","147.65","Xetra","USD","EUR","0.90","42,189,509.20"
"SAN","FR0000120578","5671735","SANOFI SA","1.3835","Equity","Health Care","France","$41,280,922","416,263","99.17","Nyse Euronext - Euronext Paris","USD","EUR","0.90","41,280,922.22"
"GSK","GB0009252882","0925288","GLAXOSMITHKLINE PLC","1.2978","Equity","Health Care","United Kingdom","$38,721,989","1,684,142","22.99","London Stock Exchange","USD","GBP","0.64","38,721,988.65"
"NOVO B","DK0060534915","BHC8X90","NOVO NORDISK CLASS B","1.2780","Equity","Health Care","Denmark","$38,132,914","678,484","56.20","Omx Nordic Exchange Copenhagen A/S","USD","DKK","6.69","38,132,913.78"
"SAN","ES0113900J37","5705946","BANCO SANTANDER SA","1.2322","Equity","Financials","Spain","$36,765,798","4,854,863","7.57","Bolsa De Madrid","USD","EUR","0.90","36,765,798.12"
"BATS","GB0002875804","0287580","BRITISH AMERICAN TOBACCO PLC","1.2186","Equity","Consumer Staples","United Kingdom","$36,358,783","645,252","56.35","London Stock Exchange","USD","GBP","0.64","36,358,783.26"
"ABI","BE0003793107","4755317","ANHEUSER BUSCH INBEV SA","1.1566","Equity","Consumer Staples","Belgium","$34,511,021","282,754","122.05","Nyse Euronext - Euronext Brussels","USD","EUR","0.90","34,511,021.32"
