iShares Europe ETF
Inception Date,"Jul 25, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$2,923,457,080"
Shares Outstanding,"65,100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"NOVN","NOVARTIS AG","CH0012005267","7103065","3.3239","Health Care","Equity","Switzerland","$97,495,415","943,016","103.39","Six Swiss Exchange Ag","USD","CHF","0.98","97,495,415.33"
"NESN","NESTLE SA","CH0038863350","7123870","2.8801","Consumer Staples","Equity","Switzerland","$84,478,608","1,123,045","75.22","Six Swiss Exchange Ag","USD","CHF","0.98","84,478,607.84"
"ROG","ROCHE HOLDING AG","CH0012032048","7110388","2.3880","Health Care","Equity","Switzerland","$70,041,772","244,710","286.22","Six Swiss Exchange Ag","USD","CHF","0.98","70,041,772.35"
"HSBA","HSBC HOLDINGS PLC","GB0005405286","0540528","2.1501","Financials","Equity","United Kingdom","$63,065,562","6,795,915","9.28","London Stock Exchange","USD","GBP","0.64","63,065,562.48"
"SAN","SANOFI SA","FR0000120578","5671735","1.5598","Health Care","Equity","France","$45,751,446","418,313","109.37","Nyse Euronext - Euronext Paris","USD","EUR","0.92","45,751,446.03"
"BAYN","BAYER AG","DE000BAY0017","5069211","1.4632","Health Care","Equity","Germany","$42,917,532","287,552","149.25","Xetra","USD","EUR","0.92","42,917,532.10"
"FP","TOTAL SA","FR0000120271","B15C557","1.3938","Energy","Equity","France","$40,881,567","827,486","49.40","Nyse Euronext - Euronext Paris","USD","EUR","0.92","40,881,567.05"
"NOVO B","NOVO NORDISK CLASS B","DK0060534915","BHC8X90","1.3678","Health Care","Equity","Denmark","$40,120,781","670,780","59.81","Omx Nordic Exchange Copenhagen A/S","USD","DKK","6.87","40,120,781.48"
"RDSA","ROYAL DUTCH SHELL PLC CLASS A","GB00B03MLX29","B03MLX2","1.3431","Energy","Equity","United Kingdom","$39,395,028","1,356,362","29.04","London Stock Exchange","USD","GBP","0.64","39,395,028.37"
"BP/","BP PLC","GB0007980591","0798059","1.3327","Energy","Equity","United Kingdom","$39,089,613","6,340,009","6.16","London Stock Exchange","USD","GBP","0.64","39,089,613.01"
"BATS","BRITISH AMERICAN TOBACCO PLC","GB0002875804","0287580","1.3221","Consumer Staples","Equity","United Kingdom","$38,778,539","648,998","59.75","London Stock Exchange","USD","GBP","0.64","38,778,538.77"
"GSK","GLAXOSMITHKLINE PLC","GB0009252882","0925288","1.2817","Health Care","Equity","United Kingdom","$37,593,046","1,697,484","22.15","London Stock Exchange","USD","GBP","0.64","37,593,045.93"
