iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$25,688,896,345"
Shares Outstanding,"169,550,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"QRVO","US74736K1016","BR9YYP4","QUORVO INC","0.6959","Equity","Information Technology","$178,879,607","2,336,463","76.56","NASDAQ","178,879,607.28"
"SIG","BMG812761002","B3CTNK6","SIGNET JEWELERS LTD","0.6737","Equity","Consumer Discretionary","$173,171,334","1,261,630","137.26","New York Stock Exchange Inc.","173,171,333.80"
"CHD","US1713401024","2195841","CHURCH AND DWIGHT INC","0.6653","Equity","Consumer Staples","$171,004,857","2,054,606","83.23","New York Stock Exchange Inc.","171,004,857.38"
"AAP","US00751Y1064","2822019","ADVANCE AUTO PARTS INC","0.6470","Equity","Consumer Discretionary","$166,308,829","1,148,859","144.76","New York Stock Exchange Inc.","166,308,828.84"
"WAB","US9297401088","2955733","WABTEC CORP","0.5877","Equity","Industrials","$151,062,473","1,516,387","99.62","New York Stock Exchange Inc.","151,062,472.94"
"JAH","US4711091086","2028323","JARDEN CORP.","0.5713","Equity","Consumer Discretionary","$146,848,312","2,824,006","52.00","New York Stock Exchange Inc.","146,848,312.00"
"RMD","US7611521078","2732903","RESMED INC.","0.5645","Equity","Health Care","$145,088,314","2,211,038","65.62","New York Stock Exchange Inc.","145,088,313.56"
"FRT","US3137472060","2333931","FEDERAL REALTY INVESTMENT TRUST RE","0.5636","Equity","Financials","$144,860,026","1,080,803","134.03","New York Stock Exchange Inc.","144,860,026.09"
"MTD","US5926881054","2126249","METTLER TOLEDO INC","0.5620","Equity","Health Care","$144,468,160","442,760","326.29","New York Stock Exchange Inc.","144,468,160.40"
"TW","US8918941076","B5VW407","TOWERS WATSON","0.5565","Equity","Industrials","$143,044,313","1,095,118","130.62","NASDAQ","143,044,313.16"
"RKT","US7727392075","2747082","ROCK-TENN CO. CL A","0.5420","Equity","Materials","$139,315,399","2,202,615","63.25","New York Stock Exchange Inc.","139,315,398.75"
"ENR","US29266R1086","2569297","ENERGIZER HOLDINGS INC","0.5397","Equity","Consumer Staples","$138,726,889","977,983","141.85","New York Stock Exchange Inc.","138,726,888.55"
"OCR","US6819041087","2659778","OMNICARE INC","0.5374","Equity","Health Care","$138,121,097","1,528,903","90.34","New York Stock Exchange Inc.","138,121,097.02"
"COO","US2166484020","2222631","COOPER COS.","0.5349","Equity","Health Care","$137,484,883","760,215","180.85","New York Stock Exchange Inc.","137,484,882.75"
"FL","US3448491049","2980906","FOOT LOCKER INC","0.5347","Equity","Consumer Discretionary","$137,434,583","2,236,891","61.44","New York Stock Exchange Inc.","137,434,583.04"
"PII","US7310681025","2692933","POLARIS INDUSTRIES INC","0.5344","Equity","Consumer Discretionary","$137,365,395","960,530","143.01","New York Stock Exchange Inc.","137,365,395.30"
"ALK","US0116591092","2012605","ALASKA AIR GROUP INC","0.5329","Equity","Industrials","$136,969,752","2,066,844","66.27","New York Stock Exchange Inc.","136,969,751.88"
"UDR","US9026531049","2727910","UDR INC.","0.5317","Equity","Financials","$136,677,802","4,073,854","33.55","New York Stock Exchange Inc.","136,677,801.70"
"LKQ","US5018892084","2971029","LKQ CORP","0.5123","Equity","Consumer Discretionary","$131,677,052","4,787,386","27.50","NASDAQ","131,677,051.93"
"UTHR","US91307C1027","2430412","UNITED THERAPEUTICS CORP.","0.5110","Equity","Health Care","$131,358,585","734,216","178.91","NASDAQ","131,358,584.56"
"ASH","US0442091049","B0BVFJ5","ASHLAND INC","0.5094","Equity","Materials","$130,933,521","1,003,322","130.50","New York Stock Exchange Inc.","130,933,521.00"
"HFC","US4361061082","B5VX1H6","HOLLYFRONTIER CORP","0.5075","Equity","Energy","$130,456,592","3,087,730","42.25","New York Stock Exchange Inc.","130,456,592.50"
"HOLX","US4364401012","2433530","HOLOGIC INC.","0.5071","Equity","Health Care","$130,340,603","3,834,675","33.99","NASDAQ","130,340,603.25"
"CDK","US12508E1010","BQXTWQ5","CDK GLOBAL INC","0.4984","Equity","Information Technology","$128,120,966","2,533,537","50.57","NASDAQ","128,120,966.09"
"RE","BMG3223R1088","2556868","EVEREST RE GROUP LTD","0.4973","Equity","Financials","$127,815,613","703,598","181.66","New York Stock Exchange Inc.","127,815,612.68"
"JBHT","US4456581077","2445416","JB HUNT TRANSPORT SERVICES INC","0.4930","Equity","Industrials","$126,712,299","1,449,300","87.43","NASDAQ","126,712,299.00"
"WWAV","US9662441057","B834PQ5","WHITEWAVE FOODS","0.4926","Equity","Consumer Staples","$126,630,707","2,746,870","46.10","New York Stock Exchange Inc.","126,630,707.00"
"AJG","US3635761097","2359506","ARTHUR J GALLAGHER","0.4830","Equity","Financials","$124,153,770","2,594,103","47.86","New York Stock Exchange Inc.","124,153,769.58"
"ANSS","US03662Q1058","2045623","ANSYS INC","0.4781","Equity","Information Technology","$122,890,877","1,417,590","86.69","NASDAQ","122,890,877.10"
"CNC","US15135B1017","2807061","CENTENE CORP.","0.4770","Equity","Health Care","$122,597,744","1,869,438","65.58","New York Stock Exchange Inc.","122,597,744.04"
"Y","US0171751003","2016801","ALLEGHANY CORP","0.4711","Equity","Financials","$121,098,974","252,027","480.50","New York Stock Exchange Inc.","121,098,973.50"
"EXR","US30225T1025","B02HWR9","EXTRA SPACE STORAGE INC.","0.4637","Equity","Financials","$119,198,014","1,739,863","68.51","New York Stock Exchange Inc.","119,198,014.13"
"AYI","US00508Y1029","2818461","ACUITY BRANDS INC.","0.4630","Equity","Industrials","$119,022,194","683,015","174.26","New York Stock Exchange Inc.","119,022,193.90"
"NYCB","US6494451031","2711656","NEW YORK COMMUNITY BANCORP INC","0.4615","Equity","Financials","$118,627,817","6,969,907","17.02","New York Stock Exchange Inc.","118,627,817.14"
"IT","US3666511072","2372763","GARTNER INC.","0.4591","Equity","Information Technology","$118,004,396","1,378,395","85.61","New York Stock Exchange Inc.","118,004,395.95"
"JLL","US48020Q1076","2040640","JONES LANG LASALLE INC.","0.4535","Equity","Financials","$116,568,360","706,047","165.10","New York Stock Exchange Inc.","116,568,359.70"
"SNPS","US8716071076","2867719","SYNOPSYS INC","0.4518","Equity","Information Technology","$116,137,509","2,420,540","47.98","NASDAQ","116,137,509.20"
"RJF","US7547301090","2718992","RAYMOND JAMES FINANCIAL INC.","0.4513","Equity","Financials","$116,003,636","2,001,443","57.96","New York Stock Exchange Inc.","116,003,636.28"
