iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$26,554,444,619"
Shares Outstanding,"178,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"CHD","CHURCH AND DWIGHT INC","US1713401024","2195841","0.7310","Consumer Staples","Equity","$195,817,991","2,188,155","89.49","New York Stock Exchange Inc.","195,817,990.95"
"JAH","JARDEN CORP.","US4711091086","2028323","0.6762","Consumer Discretionary","Equity","$181,125,236","3,243,066","55.85","New York Stock Exchange Inc.","181,125,236.10"
"HOLX","HOLOGIC INC.","US4364401012","2433530","0.6451","Health Care","Equity","$172,804,660","4,087,149","42.28","NASDAQ","172,804,659.72"
"ALK","ALASKA AIR GROUP INC","US0116591092","2012605","0.6395","Industrials","Equity","$171,300,449","2,167,537","79.03","New York Stock Exchange Inc.","171,300,449.11"
"FL","FOOT LOCKER INC","US3448491049","2980906","0.6324","Consumer Discretionary","Equity","$169,414,327","2,338,362","72.45","New York Stock Exchange Inc.","169,414,326.90"
"HFC","HOLLYFRONTIER CORP","US4361061082","B5VX1H6","0.6053","Energy","Equity","$162,151,551","3,277,113","49.48","New York Stock Exchange Inc.","162,151,551.24"
"LKQ","LKQ CORP","US5018892084","2971029","0.6028","Consumer Discretionary","Equity","$161,486,945","5,086,203","31.75","NASDAQ","161,486,945.25"
"WAB","WABTEC CORP","US9297401088","2955733","0.6020","Industrials","Equity","$161,251,724","1,615,425","99.82","New York Stock Exchange Inc.","161,251,723.50"
"OCR","OMNICARE INC","US6819041087","2659778","0.5872","Health Care","Equity","$157,298,796","1,619,967","97.10","New York Stock Exchange Inc.","157,298,795.70"
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","US3137472060","2333931","0.5838","Financials","Equity","$156,388,976","1,148,399","136.18","New York Stock Exchange Inc.","156,388,975.82"
"MTD","METTLER TOLEDO INC","US5926881054","2126249","0.5813","Health Care","Equity","$155,704,416","467,637","332.96","New York Stock Exchange Inc.","155,704,415.52"
"WWAV","WHITEWAVE FOODS","US9662441057","B834PQ5","0.5702","Consumer Staples","Equity","$152,728,861","2,928,084","52.16","New York Stock Exchange Inc.","152,728,861.44"
"AYI","ACUITY BRANDS INC.","US00508Y1029","2818461","0.5611","Industrials","Equity","$150,303,891","726,211","206.97","New York Stock Exchange Inc.","150,303,890.67"
"TW","TOWERS WATSON","US8918941076","B5VW407","0.5580","Industrials","Equity","$149,467,106","1,159,109","128.95","NASDAQ","149,467,105.55"
"UDR","UDR INC.","US9026531049","2727910","0.5488","Financials","Equity","$147,020,441","4,330,499","33.95","New York Stock Exchange Inc.","147,020,441.05"
"COO","COOPER COS.","US2166484020","2222631","0.5415","Health Care","Equity","$145,051,162","812,475","178.53","New York Stock Exchange Inc.","145,051,161.75"
"CNC","CENTENE CORP.","US15135B1017","2807061","0.5303","Health Care","Equity","$142,054,191","1,987,884","71.46","New York Stock Exchange Inc.","142,054,190.64"
"ANSS","ANSYS INC","US03662Q1058","2045623","0.5269","Information Technology","Equity","$141,132,670","1,501,092","94.02","NASDAQ","141,132,669.84"
"PII","POLARIS INDUSTRIES INC","US7310681025","2692933","0.5220","Consumer Discretionary","Equity","$139,829,682","1,022,371","136.77","New York Stock Exchange Inc.","139,829,681.67"
"EXR","EXTRA SPACE STORAGE INC.","US30225T1025","B02HWR9","0.5179","Financials","Equity","$138,740,484","1,857,551","74.69","New York Stock Exchange Inc.","138,740,484.19"
"NYCB","NEW YORK COMMUNITY BANCORP INC","US6494451031","2711656","0.5175","Financials","Equity","$138,621,669","7,428,814","18.66","New York Stock Exchange Inc.","138,621,669.24"
"RE","EVEREST RE GROUP LTD","BMG3223R1088","2556868","0.5115","Financials","Equity","$137,021,715","742,947","184.43","New York Stock Exchange Inc.","137,021,715.21"
"CDK","CDK GLOBAL INC","US12508E1010","BQXTWQ5","0.5072","Information Technology","Equity","$135,857,166","2,680,686","50.68","NASDAQ","135,857,166.48"
"AJG","ARTHUR J GALLAGHER","US3635761097","2359506","0.5018","Financials","Equity","$134,409,354","2,808,386","47.86","New York Stock Exchange Inc.","134,409,353.96"
"JLL","JONES LANG LASALLE INC.","US48020Q1076","2040640","0.5014","Financials","Equity","$134,300,052","750,112","179.04","New York Stock Exchange Inc.","134,300,052.48"
"SNPS","SYNOPSYS INC","US8716071076","2867719","0.4995","Information Technology","Equity","$133,814,022","2,593,295","51.60","NASDAQ","133,814,022.00"
"Y","ALLEGHANY CORP","US0171751003","2016801","0.4992","Financials","Equity","$133,731,942","268,565","497.95","New York Stock Exchange Inc.","133,731,941.75"
"MD","MEDNAX INC.","US58502B1061","2677640","0.4968","Health Care","Equity","$133,093,677","1,563,968","85.10","New York Stock Exchange Inc.","133,093,676.80"
"RMD","RESMED INC.","US7611521078","2732903","0.4887","Health Care","Equity","$130,899,853","2,356,433","55.55","New York Stock Exchange Inc.","130,899,853.15"
