iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$16,277,174,839"
Shares Outstanding,"139,950,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"SKX","US8305661055","2428042","SKECHERS USA INC. CL A","0.5864","Equity","Consumer Discretionary","$95,746,626","961,215","99.61","New York Stock Exchange Inc.","95,746,626.15"
"MANH","US5627501092","2239471","MANHATTAN ASSOCIATES INC.","0.5641","Equity","Information Technology","$92,101,753","1,734,823","53.09","NASDAQ","92,101,753.07"
"WST","US9553061055","2950482","WEST PHARMACEUTICAL SERVICES INC.","0.5525","Equity","Health Care","$90,207,004","1,671,119","53.98","New York Stock Exchange Inc.","90,207,003.62"
"TTC","US8910921084","2897040","TORO CO.","0.5392","Equity","Industrials","$88,032,444","1,300,908","67.67","New York Stock Exchange Inc.","88,032,444.36"
"PRXL","US6994621075","2671318","PAREXEL INTERNATIONAL CORP.","0.5105","Equity","Health Care","$83,354,170","1,280,402","65.10","NASDAQ","83,354,170.20"
"JACK","US4663671091","2344922","JACK IN THE BOX INC.","0.5026","Equity","Consumer Discretionary","$82,069,527","890,608","92.15","NASDAQ","82,069,527.20"
"CW","US2315611010","2241205","CURTISS-WRIGHT CORP.","0.4941","Equity","Industrials","$80,676,317","1,117,865","72.17","New York Stock Exchange Inc.","80,676,317.05"
"EPR","US26884U1097","B8XXZP1","EPR PROPERTIES","0.4752","Equity","Financials","$77,582,830","1,334,414","58.14","New York Stock Exchange Inc.","77,582,829.96"
"CBRL","US22410J1060","2231091","CRACKER BARREL OLD COUNTRY STORE I","0.4677","Equity","Consumer Discretionary","$76,359,598","559,698","136.43","NASDAQ","76,359,598.14"
"SYNA","US87157D1090","2839268","SYNAPTICS INC.","0.4663","Equity","Information Technology","$76,134,204","858,721","88.66","NASDAQ","76,134,203.86"
