iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$16,736,381,265"
Shares Outstanding,"144,600,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"AMSG","AMSURG CORP.","US03232P4054","2781381","0.5860","Health Care","Equity","$98,907,380","1,202,229","82.27","NASDAQ","98,907,379.83"
"TTC","TORO CO.","US8910921084","2897040","0.5557","Industrials","Equity","$93,798,001","1,366,521","68.64","New York Stock Exchange Inc.","93,798,001.44"
"MKTX","MARKETAXESS HOLDINGS INC.","US57060D1081","B03Q9D0","0.5449","Financials","Equity","$91,973,387","926,684","99.25","NASDAQ","91,973,387.00"
"ABMD","ABIOMED INC.","US0036541003","2003698","0.5136","Health Care","Equity","$86,682,904","933,178","92.89","NASDAQ","86,682,904.42"
"SSS","SOVRAN SELF STORAGE INC.","US84610H1086","2832212","0.5013","Financials","Equity","$84,621,367","890,845","94.99","New York Stock Exchange Inc.","84,621,366.55"
"JCOM","J2 GLOBAL INC","US48123V1026","B75DGJ3","0.5005","Information Technology","Equity","$84,487,558","1,137,420","74.28","NASDAQ","84,487,557.60"
"EPR","EPR PROPERTIES","US26884U1097","B8XXZP1","0.4747","Financials","Equity","$80,131,351","1,420,265","56.42","New York Stock Exchange Inc.","80,131,351.30"
"CW","CURTISS-WRIGHT CORP.","US2315611010","2241205","0.4722","Industrials","Equity","$79,699,683","1,181,086","67.48","New York Stock Exchange Inc.","79,699,683.28"
"IPXL","IMPAX LABORATORIES INC.","US45256B1017","2373722","0.4699","Health Care","Equity","$79,312,640","1,656,142","47.89","NASDAQ","79,312,640.38"
"MSCC","MICROSEMI CORP.","US5951371005","2588140","0.4666","Information Technology","Equity","$78,766,781","2,363,949","33.32","NASDAQ","78,766,780.68"
"PPS","POST PROPERTIES INC.","US7374641071","2705262","0.4586","Financials","Equity","$77,402,992","1,356,044","57.08","New York Stock Exchange Inc.","77,402,991.52"
"POOL","POOL CORP.","US73278L1052","2781585","0.4542","Consumer Discretionary","Equity","$76,672,493","1,083,557","70.76","NASDAQ","76,672,493.32"
"ALGT","ALLEGIANT TRAVEL CO.","US01748X1028","B15M2C3","0.4531","Industrials","Equity","$76,473,197","334,236","228.80","NASDAQ","76,473,196.80"
"PRAA","PRA GROUP INC","US69354N1063","BSHZ3P9","0.4524","Financials","Equity","$76,361,368","1,200,273","63.62","NASDAQ","76,361,368.26"
"EME","EMCOR GROUP INC.","US29084Q1004","2474164","0.4423","Industrials","Equity","$74,654,661","1,557,252","47.94","New York Stock Exchange Inc.","74,654,660.88"
"PVTB","PRIVATEBANCORP INC.","US7429621037","2486578","0.4411","Financials","Equity","$74,451,555","1,757,591","42.36","NASDAQ","74,451,554.76"
"PNY","PIEDMONT NATURAL GAS CO.","US7201861058","2688147","0.4404","Utilities","Equity","$74,332,416","1,962,313","37.88","New York Stock Exchange Inc.","74,332,416.44"
"WWW","WOLVERINE WORLD WIDE INC.","US9780971035","2977500","0.4294","Consumer Discretionary","Equity","$72,482,782","2,563,947","28.27","New York Stock Exchange Inc.","72,482,781.69"
"MDSO","MEDIDATA SOLUTIONS INC.","US58471A1051","B5424Q0","0.4268","Health Care","Equity","$72,048,498","1,373,137","52.47","NASDAQ","72,048,498.39"
"BLKB","BLACKBAUD INC.","US09227Q1004","2458878","0.4212","Information Technology","Equity","$71,103,759","1,164,490","61.06","NASDAQ","71,103,759.40"
"TRAK","DEALERTRACK TECHNOLOGIES INC.","US2423091022","B0PBS69","0.4110","Information Technology","Equity","$69,379,603","1,117,044","62.11","NASDAQ","69,379,602.84"
"LAD","LITHIA MOTORS INC. CL A","US5367971034","2515030","0.4035","Consumer Discretionary","Equity","$68,112,769","568,554","119.80","New York Stock Exchange Inc.","68,112,769.20"
"VSAT","VIASAT INC.","US92552V1008","2946243","0.4026","Information Technology","Equity","$67,961,182","1,088,947","62.41","NASDAQ","67,961,182.27"
"ENS","ENERSYS INC.","US29275Y1029","B020GQ5","0.4024","Industrials","Equity","$67,925,051","1,104,652","61.49","New York Stock Exchange Inc.","67,925,051.48"
"UIL","UIL HOLDINGS CORP.","US9027481020","2613785","0.3997","Utilities","Equity","$67,467,864","1,412,348","47.77","New York Stock Exchange Inc.","67,467,863.96"
"TCBI","TEXAS CAPITAL BANCSHARES INC.","US88224Q1076","2977209","0.3981","Financials","Equity","$67,199,251","1,135,698","59.17","NASDAQ","67,199,250.66"
"GIII","G-III APPAREL GROUP LTD.","US36237H1014","2369721","0.3971","Consumer Discretionary","Equity","$67,025,956","948,570","70.66","NASDAQ","67,025,956.20"
"TTWO","TAKE-TWO INTERACTIVE SOFTWARE INC.","US8740541094","2122117","0.3961","Information Technology","Equity","$66,860,030","2,099,216","31.85","NASDAQ","66,860,029.60"
"NUVA","NUVASIVE INC.","US6707041058","B00GJC2","0.3958","Health Care","Equity","$66,815,191","1,199,770","55.69","NASDAQ","66,815,191.30"
"MW","MENS WEARHOUSE INC.","US5871181005","2576327","0.3946","Consumer Discretionary","Equity","$66,614,963","1,138,912","58.49","New York Stock Exchange Inc.","66,614,962.88"
"PRA","PROASSURANCE CORP.","US74267C1062","2612737","0.3928","Financials","Equity","$66,296,253","1,364,963","48.57","New York Stock Exchange Inc.","66,296,252.91"
"MPW","MEDICAL PROPERTIES TRUST REIT INC","US58463J3041","B0JL5L9","0.3890","Financials","Equity","$65,658,143","5,190,367","12.65","New York Stock Exchange Inc.","65,658,142.55"
"UBSI","UNITED BANKSHARES INC.","US9099071071","2905794","0.3847","Financials","Equity","$64,933,929","1,585,301","40.96","NASDAQ","64,933,928.96"
"GEO","GEO GROUP REIT INC","US36162J1060","BNLYWQ1","0.3833","Industrials","Equity","$64,698,562","1,853,827","34.90","New York Stock Exchange Inc.","64,698,562.30"
"SWX","SOUTHWEST GAS CORP.","US8448951025","2831888","0.3818","Utilities","Equity","$64,447,372","1,162,261","55.45","New York Stock Exchange Inc.","64,447,372.45"
"CHE","CHEMED CORP.","US16359R1032","2190084","0.3796","Health Care","Equity","$64,073,121","423,736","151.21","New York Stock Exchange Inc.","64,073,120.56"
"WTFC","WINTRUST FINANCIAL CORP.","US97650W1080","2425258","0.3772","Financials","Equity","$63,665,988","1,176,603","54.11","NASDAQ","63,665,988.33"
"MOG.A","MOOG INC. CL A","US6153942023","2601218","0.3749","Industrials","Equity","$63,286,249","960,775","65.87","New York Stock Exchange Inc.","63,286,249.25"
"IBKR","INTERACTIVE BROKERS GROUP INC.","US45841N1072","B1WT4X2","0.3723","Financials","Equity","$62,835,141","1,451,158","43.30","NASDAQ","62,835,141.40"
"NWE","NORTHWESTERN CORP.","US6680743050","B03PGL4","0.3720","Utilities","Equity","$62,784,549","1,167,216","53.79","New York Stock Exchange Inc.","62,784,548.64"
"HCSG","HEALTHCARE SERVICES GROUP INC.","US4219061086","2417619","0.3698","Industrials","Equity","$62,419,740","1,773,792","35.19","NASDAQ","62,419,740.48"
"PBH","PRESTIGE BRANDS HOLDINGS INC.","US74112D1019","B0650P3","0.3694","Health Care","Equity","$62,352,515","1,297,659","48.05","New York Stock Exchange Inc.","62,352,514.95"
"TXRH","TEXAS ROADHOUSE INC","US8826811098","B033TJ7","0.3674","Consumer Discretionary","Equity","$62,013,612","1,563,237","39.67","NASDAQ","62,013,611.79"
"DRH","DIAMONDROCK HOSPITALITY CO.","US2527843013","B090B96","0.3629","Financials","Equity","$61,257,260","4,980,265","12.30","New York Stock Exchange Inc.","61,257,259.50"
"NJR","NEW JERSEY RESOURCES CORP.","US6460251068","2630513","0.3581","Utilities","Equity","$60,437,884","2,123,608","28.46","New York Stock Exchange Inc.","60,437,883.68"
"HR","HEALTHCARE REALTY TRUST REIT INC","US4219461047","2417921","0.3573","Financials","Equity","$60,312,872","2,491,238","24.21","New York Stock Exchange Inc.","60,312,871.98"
"HOMB","HOME BANCSHARES INC.","US4368932004","B17MTL9","0.3527","Financials","Equity","$59,527,934","1,459,018","40.80","NASDAQ","59,527,934.40"
"HELE","HELEN OF TROY CORP.","BMG4388N1065","2419530","0.3510","Consumer Discretionary","Equity","$59,239,668","664,718","89.12","NASDAQ","59,239,668.16"
"FNGN","FINANCIAL ENGINES INC","US3174851002","B65V2X6","0.3482","Financials","Equity","$58,782,736","1,291,077","45.53","NASDAQ","58,782,735.81"
"FNB","F.N.B. CORP.","US3025201019","2041308","0.3450","Financials","Equity","$58,235,700","4,323,363","13.47","New York Stock Exchange Inc.","58,235,699.61"
"HPY","HEARTLAND PAYMENT SYSTEMS INC.","US42235N1081","B02T2G4","0.3431","Information Technology","Equity","$57,910,500","908,400","63.75","New York Stock Exchange Inc.","57,910,500.00"
"LG","LACLEDE GROUP INC.","US5055971049","2500218","0.3427","Utilities","Equity","$57,846,557","1,075,015","53.81","New York Stock Exchange Inc.","57,846,557.15"
"VAC","MARRIOTT VACATIONS WORLDWIDE CORP.","US57164Y1073","B45K9N8","0.3388","Consumer Discretionary","Equity","$57,195,313","685,220","83.47","New York Stock Exchange Inc.","57,195,313.40"
"UMBF","UMB FINANCIAL CORP.","US9027881088","2918510","0.3347","Financials","Equity","$56,487,648","1,012,868","55.77","NASDAQ","56,487,648.36"
"SHOO","STEVEN MADDEN LTD.","US5562691080","2553911","0.3264","Consumer Discretionary","Equity","$55,094,772","1,386,032","39.75","NASDAQ","55,094,772.00"
"ALE","ALLETE INC.","US0185223007","B02R1L6","0.3263","Utilities","Equity","$55,079,701","1,113,171","49.48","New York Stock Exchange Inc.","55,079,701.08"
"MBFI","MB FINANCIAL INC.","US55264U1088","2817651","0.3255","Financials","Equity","$54,939,284","1,600,795","34.32","NASDAQ","54,939,284.40"
"DY","DYCOM INDUSTRIES INC.","US2674751019","2289841","0.3236","Industrials","Equity","$54,625,703","845,861","64.58","New York Stock Exchange Inc.","54,625,703.38"
"SNX","SYNNEX CORP.","US87162W1009","2002554","0.3207","Information Technology","Equity","$54,127,330","696,261","77.74","New York Stock Exchange Inc.","54,127,330.14"
"AKR","ACADIA REALTY TRUST REIT","US0042391096","2566522","0.3206","Financials","Equity","$54,117,448","1,707,175","31.70","New York Stock Exchange Inc.","54,117,447.50"
"FFIN","FIRST FINANCIAL BANKSHARES INC.","US32020R1095","2266026","0.3196","Financials","Equity","$53,951,253","1,591,952","33.89","NASDAQ","53,951,253.28"
"KRG","KITE REALTY GROUP TRUST REIT","US49803T3005","BPBSZJ1","0.3184","Financials","Equity","$53,746,383","2,074,349","25.91","New York Stock Exchange Inc.","53,746,382.59"
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","US0256762065","2191300","0.3180","Financials","Equity","$53,681,264","1,912,407","28.07","New York Stock Exchange Inc.","53,681,264.49"
"GBCI","GLACIER BANCORP INC.","US37637Q1058","2370585","0.3173","Financials","Equity","$53,559,722","1,874,684","28.57","NASDAQ","53,559,721.88"
"NEOG","NEOGEN CORP.","US6404911066","2630085","0.3161","Health Care","Equity","$53,352,144","919,389","58.03","NASDAQ","53,352,143.67"
"EFII","ELECTRONICS FOR IMAGING INC.","US2860821022","2310202","0.3146","Information Technology","Equity","$53,095,296","1,163,605","45.63","NASDAQ","53,095,296.15"
"EVR","EVERCORE PARTNERS INC. CL A","US29977A1051","B1BHXZ2","0.3125","Financials","Equity","$52,744,844","904,094","58.34","New York Stock Exchange Inc.","52,744,843.96"
"MNRO","MONRO MUFFLER BRAKE INC.","US6102361010","2600088","0.3101","Consumer Discretionary","Equity","$52,343,396","790,089","66.25","NASDAQ","52,343,396.25"
"MDCO","MEDICINES CO.","US5846881051","2616773","0.3094","Health Care","Equity","$52,229,086","1,643,975","31.77","NASDAQ","52,229,085.75"
"PZZA","PAPA JOHNS INTERNATIONAL INC.","US6988131024","2696117","0.3093","Consumer Discretionary","Equity","$52,203,013","730,623","71.45","NASDAQ","52,203,013.35"
"SCOR","COMSCORE INC","US20564W1053","B1YWRF2","0.3066","Information Technology","Equity","$51,749,445","837,912","61.76","NASDAQ","51,749,445.12"
"HAE","HAEMONETICS CORP.","US4050241003","2401195","0.3055","Health Care","Equity","$51,570,369","1,282,845","40.20","New York Stock Exchange Inc.","51,570,369.00"
"RLI","RLI CORP.","US7496071074","2719070","0.3050","Financials","Equity","$51,486,831","921,547","55.87","New York Stock Exchange Inc.","51,486,830.89"
"MASI","MASIMO CORP.","US5747951003","B1YWR63","0.3050","Health Care","Equity","$51,477,418","1,180,404","43.61","NASDAQ","51,477,418.44"
"DAR","DARLING INGREDIENTS INC","US2372661015","2250289","0.3049","Consumer Staples","Equity","$51,464,287","4,100,740","12.55","New York Stock Exchange Inc.","51,464,287.00"
"LFUS","LITTELFUSE INC.","US5370081045","2531832","0.3030","Information Technology","Equity","$51,147,014","560,331","91.28","NASDAQ","51,147,013.68"
"CUZ","COUSINS PROPERTIES REIT INC","US2227951066","2229922","0.3026","Financials","Equity","$51,072,090","5,107,209","10.00","New York Stock Exchange Inc.","51,072,090.00"
"GPI","GROUP 1 AUTOMOTIVE INC.","US3989051095","2121352","0.3010","Consumer Discretionary","Equity","$50,804,306","530,261","95.81","New York Stock Exchange Inc.","50,804,306.41"
"FUL","H.B. FULLER CO.","US3596941068","2354664","0.2983","Materials","Equity","$50,344,937","1,253,609","40.16","New York Stock Exchange Inc.","50,344,937.44"
"RYL","RYLAND GROUP INC.","US7837641031","2761101","0.2965","Consumer Discretionary","Equity","$50,054,616","1,161,360","43.10","New York Stock Exchange Inc.","50,054,616.00"
"CMN","CANTEL MEDICAL CORP.","US1380981084","2188153","0.2930","Health Care","Equity","$49,462,511","876,684","56.42","New York Stock Exchange Inc.","49,462,511.28"
"LGND","LIGAND PHARMACEUTICALS INC.","US53220K5048","2501578","0.2928","Health Care","Equity","$49,426,039","444,279","111.25","NASDAQ","49,426,038.75"
"CACI","CACI INTERNATIONAL INC. CL A","US1271903049","2159267","0.2928","Information Technology","Equity","$49,423,917","600,169","82.35","New York Stock Exchange Inc.","49,423,917.15"
"KS","KAPSTONE PAPER & PACKAGING CORP.","US48562P1030","B0L2NP0","0.2891","Materials","Equity","$48,804,015","2,102,715","23.21","New York Stock Exchange Inc.","48,804,015.15"
"MSTR","MICROSTRATEGY INC.","US5949724083","2974329","0.2882","Information Technology","Equity","$48,645,826","224,957","216.25","NASDAQ","48,645,826.47"
"B","BARNES GROUP INC.","US0678061096","2080732","0.2838","Industrials","Equity","$47,898,133","1,224,077","39.13","New York Stock Exchange Inc.","47,898,133.01"
"BCPC","BALCHEM CORP.","US0576652004","2072074","0.2812","Materials","Equity","$47,470,587","772,005","61.49","NASDAQ","47,470,587.45"
"CRUS","CIRRUS LOGIC INC.","US1727551004","2197308","0.2795","Information Technology","Equity","$47,184,323","1,573,860","29.98","NASDAQ","47,184,322.80"
"EGP","EASTGROUP PROPERTIES INC.","US2772761019","2455761","0.2792","Financials","Equity","$47,134,804","801,476","58.81","New York Stock Exchange Inc.","47,134,803.56"
"MKSI","MKS INSTRUMENTS INC.","US55306N1046","2404871","0.2788","Information Technology","Equity","$47,062,544","1,324,959","35.52","NASDAQ","47,062,543.68"
"MPWR","MONOLITHIC POWER SYSTEMS INC.","US6098391054","B01Z7J1","0.2772","Information Technology","Equity","$46,783,157","912,664","51.26","NASDAQ","46,783,156.64"
"MATX","MATSON INC.","US57686G1058","B8GNC91","0.2751","Industrials","Equity","$46,437,319","1,078,934","43.04","New York Stock Exchange Inc.","46,437,319.36"
"CHSP","CHESAPEAKE LODGING TRUST REIT","US1652401027","B4TC8L1","0.2729","Financials","Equity","$46,070,986","1,480,906","31.11","New York Stock Exchange Inc.","46,070,985.66"
"AVA","AVISTA CORP.","US05379B1070","2942605","0.2728","Utilities","Equity","$46,054,948","1,422,327","32.38","New York Stock Exchange Inc.","46,054,948.26"
"LXP","LEXINGTON REALTY TRUST REIT","US5290431015","2139151","0.2705","Financials","Equity","$45,654,715","5,271,907","8.66","New York Stock Exchange Inc.","45,654,714.62"
"PDCE","PDC ENERGY INC","US69327R1014","B89M5F2","0.2705","Energy","Equity","$45,655,225","994,234","45.92","NASDAQ","45,655,225.28"
"MLI","MUELLER INDUSTRIES INC.","US6247561029","2609717","0.2695","Industrials","Equity","$45,484,145","1,413,429","32.18","New York Stock Exchange Inc.","45,484,145.22"
"PNK","PINNACLE ENTERTAINMENT INC.","US7234561097","2432225","0.2678","Consumer Discretionary","Equity","$45,196,846","1,155,634","39.11","New York Stock Exchange Inc.","45,196,845.74"
"DEPO","DEPOMED INC.","US2499081048","2100179","0.2662","Health Care","Equity","$44,936,070","1,457,071","30.84","NASDAQ","44,936,069.64"
"ASGN","ON ASSIGNMENT INC.","US6821591087","2658720","0.2660","Industrials","Equity","$44,903,374","1,155,814","38.85","New York Stock Exchange Inc.","44,903,373.90"
"BOFI","BOFI HOLDING INC.","US05566U1088","B0637D4","0.2652","Financials","Equity","$44,772,856","335,528","133.44","NASDAQ","44,772,856.32"
"LOGM","LOGMEIN INC","US54142L1098","B600J15","0.2642","Information Technology","Equity","$44,596,245","611,410","72.94","NASDAQ","44,596,245.40"
"SNCR","SYNCHRONOSS TECHNOLOGIES INC.","US87157B1035","B17BCQ2","0.2641","Information Technology","Equity","$44,576,946","913,462","48.80","NASDAQ","44,576,945.60"
"HI","HILLENBRAND INC.","US4315711089","B2QGDP1","0.2640","Industrials","Equity","$44,559,205","1,577,317","28.25","New York Stock Exchange Inc.","44,559,205.25"
"UNF","UNIFIRST CORP.","US9047081040","2466428","0.2631","Industrials","Equity","$44,410,695","389,978","113.88","New York Stock Exchange Inc.","44,410,694.64"
"THRM","GENTHERM INC","US37253A1034","B8JFD24","0.2629","Consumer Discretionary","Equity","$44,375,485","891,432","49.78","NASDAQ","44,375,484.96"
"SIGI","SELECTIVE INSURANCE GROUP INC.","US8163001071","2766173","0.2627","Financials","Equity","$44,337,053","1,412,908","31.38","NASDAQ","44,337,053.04"
"COLB","COLUMBIA BANKING SYSTEM INC.","US1972361026","2176608","0.2608","Financials","Equity","$44,029,309","1,332,203","33.05","NASDAQ","44,029,309.15"
"STL","STERLING BAN","US85917A1007","BFNXVB8","0.2608","Financials","Equity","$44,016,568","2,962,084","14.86","New York Stock Exchange Inc.","44,016,568.24"
"JJSF","J&J SNACK FOODS CORP.","US4660321096","2469171","0.2588","Consumer Staples","Equity","$43,681,327","371,282","117.65","NASDAQ","43,681,327.30"
"KND","KINDRED HEALTHCARE INC.","US4945801037","2752677","0.2584","Health Care","Equity","$43,622,610","2,072,333","21.05","New York Stock Exchange Inc.","43,622,609.65"
"PNFP","PINNACLE FINANCIAL PARTNERS INC.","US72346Q1040","2675097","0.2579","Financials","Equity","$43,532,630","828,404","52.55","NASDAQ","43,532,630.20"
"TILE","INTERFACE INC.","US4586653044","B86V808","0.2571","Industrials","Equity","$43,401,302","1,640,881","26.45","NASDAQ","43,401,302.45"
"SANM","SANMINA CORP.","US8010561020","B92RRW2","0.2570","Information Technology","Equity","$43,372,283","2,051,669","21.14","NASDAQ","43,372,282.66"
"ABM","ABM INDUSTRIES INC.","US0009571003","2024901","0.2566","Industrials","Equity","$43,304,873","1,302,794","33.24","New York Stock Exchange Inc.","43,304,872.56"
"AXE","ANIXTER INTERNATIONAL INC.","US0352901054","2468844","0.2559","Information Technology","Equity","$43,191,269","679,108","63.60","New York Stock Exchange Inc.","43,191,268.80"
"IART","INTEGRA LIFESCIENCES HOLDINGS CORP","US4579852082","2248693","0.2551","Health Care","Equity","$43,055,790","692,104","62.21","NASDAQ","43,055,789.84"
"EXH","EXTERRAN HOLDINGS INC.","US30225X1037","B241SX1","0.2550","Energy","Equity","$43,034,397","1,723,444","24.97","New York Stock Exchange Inc.","43,034,396.68"
"BGS","B AND G FOODS INC","US05508R1068","B034L49","0.2543","Consumer Staples","Equity","$42,917,540","1,439,220","29.82","New York Stock Exchange Inc.","42,917,540.40"
"DIN","DINEEQUITY INC.","US2544231069","2456957","0.2540","Consumer Discretionary","Equity","$42,879,290","411,549","104.19","New York Stock Exchange Inc.","42,879,290.31"
"CRZO","CARRIZO OIL & GAS INC.","US1445771033","2092801","0.2537","Energy","Equity","$42,822,320","1,175,146","36.44","NASDAQ","42,822,320.24"
"CVBF","CVB FINANCIAL CORP.","US1266001056","2160645","0.2535","Financials","Equity","$42,786,711","2,401,050","17.82","NASDAQ","42,786,711.00"
"LNCE","SNYDERS-LANCE INC.","US8335511049","B54DFD7","0.2535","Consumer Staples","Equity","$42,784,789","1,297,295","32.98","NASDAQ","42,784,789.10"
"TSRA","TESSERA TECHNOLOGIES INC.","US88164L1008","2042914","0.2525","Information Technology","Equity","$42,621,678","1,162,938","36.65","NASDAQ","42,621,677.70"
"KFY","KORN/FERRY INTERNATIONAL","US5006432000","2386849","0.2525","Industrials","Equity","$42,613,417","1,251,863","34.04","New York Stock Exchange Inc.","42,613,416.52"
"CALM","CAL-MAINE FOODS INC.","US1280302027","2158781","0.2516","Consumer Staples","Equity","$42,460,819","746,367","56.89","NASDAQ","42,460,818.63"
"KNX","KNIGHT TRANSPORTATION INC.","US4990641031","2487690","0.2510","Industrials","Equity","$42,370,943","1,532,403","27.65","New York Stock Exchange Inc.","42,370,942.95"
"SBRA","SABRA HEALTHCARE REIT INC.","US78573L1061","B5NLBP6","0.2490","Financials","Equity","$42,031,678","1,617,225","25.99","NASDAQ","42,031,677.75"
"CBM","CAMBREX CORP.","US1320111073","2165811","0.2480","Health Care","Equity","$41,859,205","777,763","53.82","New York Stock Exchange Inc.","41,859,204.66"
"ROIC","RETAIL OPPORTUNITY INVESTMENTS COR","US76131N1019","B28YD08","0.2453","Financials","Equity","$41,407,146","2,450,127","16.90","NASDAQ","41,407,146.30"
"AEC","ASSOCIATED ESTATES REALTY CORP.","US0456041054","2044396","0.2443","Financials","Equity","$41,231,227","1,435,128","28.73","New York Stock Exchange Inc.","41,231,227.44"
"MGLN","MAGELLAN HEALTH INC","US5590792074","2307787","0.2440","Health Care","Equity","$41,182,231","678,567","60.69","NASDAQ","41,182,231.23"
"SJI","SOUTH JERSEY INDUSTRIES INC.","US8385181081","2825933","0.2429","Utilities","Equity","$40,993,873","1,693,262","24.21","New York Stock Exchange Inc.","40,993,873.02"
"WAGE","WAGEWORKS INC","US9304271094","B6WG4R2","0.2411","Industrials","Equity","$40,693,128","825,921","49.27","New York Stock Exchange Inc.","40,693,127.67"
"CATM","CARDTRONICS INC.","US14161H1086","B00K2K3","0.2400","Information Technology","Equity","$40,513,093","1,114,528","36.35","NASDAQ","40,513,092.80"
"AHS","AMN HEALTHCARE SERVICES INC.","US0017441017","2813552","0.2393","Health Care","Equity","$40,396,799","1,182,230","34.17","New York Stock Exchange Inc.","40,396,799.10"
"MINI","MOBILE MINI INC.","US60740F1057","2548177","0.2393","Industrials","Equity","$40,386,851","1,148,006","35.18","NASDAQ","40,386,851.08"
"EXPR","EXPRESS INC","US30219E1038","B464DZ9","0.2387","Consumer Discretionary","Equity","$40,284,389","2,094,872","19.23","New York Stock Exchange Inc.","40,284,388.56"
"NKTR","NEKTAR THERAPEUTICS","US6402681083","2454445","0.2380","Health Care","Equity","$40,178,799","3,266,569","12.30","NASDAQ","40,178,798.70"
"DORM","DORMAN PRODUCTS INC.","US2582781009","2718594","0.2366","Consumer Discretionary","Equity","$39,934,391","763,272","52.32","NASDAQ","39,934,391.04"
"MTH","MERITAGE HOMES CORP.","US59001A1025","2601326","0.2355","Consumer Discretionary","Equity","$39,746,922","934,562","42.53","New York Stock Exchange Inc.","39,746,921.86"
"TTEK","TETRA TECH INC.","US88162G1031","2883890","0.2354","Industrials","Equity","$39,727,991","1,496,910","26.54","NASDAQ","39,727,991.40"
"MATW","MATTHEWS INTERNATIONAL CORP. CL A","US5771281012","2568090","0.2347","Industrials","Equity","$39,622,995","737,172","53.75","NASDAQ","39,622,995.00"
"LCI","LANNETT COMPANY INC","US5160121019","2447694","0.2341","Health Care","Equity","$39,515,959","666,149","59.32","New York Stock Exchange Inc.","39,515,958.68"
