iShares Japan Large-Cap ETF
Inception Date,"Oct 23, 2001"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$83,907,585"
Shares Outstanding,"1,500,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"7203","JP3633400001","6900643","TOYOTA MOTOR CORP","7.5041","Equity","Consumer Discretionary","Japan","$6,282,591","91,500","68.66","Tokyo Stock Exchange","USD","JPY","119.94","6,282,590.57"
"8306","JP3902900004","6335171","MITSUBISHI UFJ FINANCIAL GROUP INC","3.8949","Equity","Financials","Japan","$3,260,866","448,500","7.27","Tokyo Stock Exchange","USD","JPY","119.94","3,260,866.30"
"8316","JP3890350006","6563024","SUMITOMO MITSUI FINANCIAL GROUP IN","2.4111","Equity","Financials","Japan","$2,018,593","45,000","44.86","Tokyo Stock Exchange","USD","JPY","119.94","2,018,593.40"
"7267","JP3854600008","6435145","HONDA MOTOR LTD","2.3901","Equity","Consumer Discretionary","Japan","$2,001,071","57,000","35.11","Tokyo Stock Exchange","USD","JPY","119.94","2,001,071.41"
"9984","JP3436100006","6770620","SOFTBANK CORP","2.2477","Equity","Telecommunications","Japan","$1,881,853","30,500","61.70","Tokyo Stock Exchange","USD","JPY","119.94","1,881,852.67"
"9432","JP3735400008","6641373","NIPPON TELEGRAPH AND TELEPHONE COR","1.8307","Equity","Telecommunications","Japan","$1,532,705","22,500","68.12","Tokyo Stock Exchange","USD","JPY","119.94","1,532,705.22"
"8411","JP3885780001","6591014","MIZUHO FINANCIAL GROUP INC","1.7929","Equity","Financials","Japan","$1,501,051","771,000","1.95","Tokyo Stock Exchange","USD","JPY","119.94","1,501,050.57"
"2914","JP3726800000","6474535","JAPAN TOBACCO INC","1.5514","Equity","Consumer Staples","Japan","$1,298,887","36,500","35.59","Tokyo Stock Exchange","USD","JPY","119.94","1,298,886.90"
"6954","JP3802400006","6356934","FANUC CORP","1.5222","Equity","Industrials","Japan","$1,274,440","6,000","212.41","Tokyo Stock Exchange","USD","JPY","119.94","1,274,440.32"
"7751","JP3242800005","6172323","CANON INC","1.5091","Equity","Information Technology","Japan","$1,263,450","35,550","35.54","Tokyo Stock Exchange","USD","JPY","119.94","1,263,449.99"
"4502","JP3463000004","6870445","TAKEDA PHARMACEUTICAL LTD","1.4218","Equity","Health Care","Japan","$1,190,320","23,000","51.75","Tokyo Stock Exchange","USD","JPY","119.94","1,190,319.76"
"9022","JP3566800003","6183552","CENTRAL JAPAN RAILWAY","1.3808","Equity","Industrials","Japan","$1,156,001","6,500","177.85","Tokyo Stock Exchange","USD","JPY","119.94","1,156,001.17"
"6758","JP3435000009","6821506","SONY CORP","1.3733","Equity","Consumer Discretionary","Japan","$1,149,781","37,000","31.08","Tokyo Stock Exchange","USD","JPY","119.94","1,149,781.13"
