iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$70,268,129,139"
Shares Outstanding,"332,350,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","US0378331005","2046251","APPLE INC","3.9386","Equity","Information Technology","$2,775,604,475","21,972,803","126.32","NASDAQ","2,775,604,474.96"
"MSFT","US5949181045","2588173","MICROSOFT CORP","2.0802","Equity","Information Technology","$1,465,969,954","30,947,223","47.37","NASDAQ","1,465,969,953.51"
"XOM","US30231G1022","2326618","EXXON MOBIL CORP","1.9485","Equity","Energy","$1,373,179,037","15,823,681","86.78","New York Stock Exchange Inc.","1,373,179,037.18"
"JNJ","US4781601046","2475833","JOHNSON & JOHNSON","1.5037","Equity","Health Care","$1,059,688,414","10,488,849","101.03","New York Stock Exchange Inc.","1,059,688,414.47"
"GE","US3696041033","2380498","GENERAL ELECTRIC","1.4504","Equity","Industrials","$1,022,095,464","37,967,885","26.92","New York Stock Exchange Inc.","1,022,095,464.20"
"BRKB","US0846707026","2073390","BERKSHIRE HATHAWAY INC CLASS B","1.4269","Equity","Financials","$1,005,576,661","6,879,501","146.17","New York Stock Exchange Inc.","1,005,576,661.17"
"WFC","US9497461015","2649100","WELLS FARGO","1.3932","Equity","Financials","$981,790,327","17,686,729","55.51","New York Stock Exchange Inc.","981,790,326.79"
"JPM","US46625H1005","2190385","JPMORGAN CHASE & CO","1.3062","Equity","Financials","$920,509,744","14,064,320","65.45","New York Stock Exchange Inc.","920,509,744.00"
"PG","US7427181091","2704407","PROCTER & GAMBLE","1.1603","Equity","Consumer Staples","$817,721,969","10,187,143","80.27","New York Stock Exchange Inc.","817,721,968.61"
"PFE","US7170811035","2684703","PFIZER INC","1.1141","Equity","Health Care","$785,150,140","23,119,851","33.96","New York Stock Exchange Inc.","785,150,139.96"
"VZ","US92343V1044","2090571","VERIZON COMMUNICATIONS INC","1.1077","Equity","Telecommunications","$780,636,065","15,675,423","49.80","New York Stock Exchange Inc.","780,636,065.40"
"CVX","US1667641005","2838555","CHEVRON CORP","1.0805","Equity","Energy","$761,460,892","7,092,594","107.36","New York Stock Exchange Inc.","761,460,891.84"
"T","US00206R1023","2831811","AT&T INC","0.9304","Equity","Telecommunications","$655,695,486","19,578,844","33.49","New York Stock Exchange Inc.","655,695,485.56"
"BAC","US0605051046","2295677","BANK OF AMERICA CORP","0.9286","Equity","Financials","$654,370,444","39,682,865","16.49","New York Stock Exchange Inc.","654,370,443.85"
"MRK","US58933Y1055","2778844","MERCK & CO INC","0.9116","Equity","Health Care","$642,390,000","10,706,500","60.00","New York Stock Exchange Inc.","642,390,000.00"
"DIS","US2546871060","2270726","WALT DISNEY","0.9090","Equity","Consumer Discretionary","$640,559,181","5,898,335","108.60","New York Stock Exchange Inc.","640,559,181.00"
"AMZN","US0231351067","2000019","AMAZON COM INC","0.8823","Equity","Consumer Discretionary","$621,773,875","1,436,465","432.85","NASDAQ","621,773,875.25"
"FB","US30303M1027","B7TL820","FACEBOOK CLASS A INC","0.8766","Equity","Information Technology","$617,758,928","7,918,971","78.01","NASDAQ","617,758,927.71"
"C","US1729674242","2297907","CITIGROUP INC","0.8765","Equity","Financials","$617,663,497","11,444,571","53.97","New York Stock Exchange Inc.","617,663,496.87"
"KO","US1912161007","2206657","COCA-COLA","0.8612","Equity","Consumer Staples","$606,880,395","14,823,654","40.94","New York Stock Exchange Inc.","606,880,394.76"
"IBM","US4592001014","2005973","INTERNATIONAL BUSINESS MACHINES CO","0.8420","Equity","Information Technology","$593,380,503","3,467,628","171.12","New York Stock Exchange Inc.","593,380,503.36"
"GILD","US3755581036","2369174","GILEAD SCIENCES INC","0.8350","Equity","Health Care","$588,419,535","5,618,443","104.73","NASDAQ","588,419,535.39"
"GOOGL","US38259P5089","B020QX2","GOOGLE INC CLASS A","0.8343","Equity","Information Technology","$587,928,952","1,077,227","545.78","NASDAQ","587,928,952.06"
"INTC","US4581401001","2463247","INTEL CORPORATION CORP","0.8287","Equity","Information Technology","$584,025,156","17,865,560","32.69","NASDAQ","584,025,156.40"
