iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$69,783,236,901"
Shares Outstanding,"332,750,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","APPLE INC","US0378331005","2046251","3.5772","Information Technology","Equity","$2,515,058,066","21,794,264","115.40","NASDAQ","2,515,058,065.60"
"MSFT","MICROSOFT CORP","US5949181045","2588173","2.0710","Information Technology","Equity","$1,456,103,206","30,603,262","47.58","NASDAQ","1,456,103,205.96"
"XOM","EXXON MOBIL CORP","US30231G1022","2326618","1.7361","Energy","Equity","$1,220,623,896","15,817,337","77.17","New York Stock Exchange Inc.","1,220,623,896.29"
"JNJ","JOHNSON & JOHNSON","US4781601046","2475833","1.4998","Health Care","Equity","$1,054,510,488","10,490,554","100.52","New York Stock Exchange Inc.","1,054,510,488.08"
"WFC","WELLS FARGO","US9497461015","2649100","1.4535","Financials","Equity","$1,021,933,993","17,726,522","57.65","New York Stock Exchange Inc.","1,021,933,993.30"
"GE","GENERAL ELECTRIC","US3696041033","2380498","1.4150","Industrials","Equity","$994,872,544","38,117,722","26.10","New York Stock Exchange Inc.","994,872,544.20"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","US0846707026","2073390","1.4082","Financials","Equity","$990,063,039","6,899,394","143.50","New York Stock Exchange Inc.","990,063,039.00"
"JPM","JPMORGAN CHASE & CO","US46625H1005","2190385","1.3724","Financials","Equity","$964,916,003","14,039,226","68.73","New York Stock Exchange Inc.","964,916,002.98"
"PFE","PFIZER INC","US7170811035","2684703","1.1868","Health Care","Equity","$834,417,766","23,294,745","35.82","New York Stock Exchange Inc.","834,417,765.90"
"T","AT&T INC","US00206R1023","2831811","1.1429","Telecommunications","Equity","$803,551,233","23,244,178","34.57","New York Stock Exchange Inc.","803,551,233.46"
"PG","PROCTER & GAMBLE","US7427181091","2704407","1.1061","Consumer Staples","Equity","$777,656,757","10,263,386","75.77","New York Stock Exchange Inc.","777,656,757.22"
"AMZN","AMAZON COM INC","US0231351067","2000019","1.1034","Consumer Discretionary","Equity","$775,757,665","1,444,587","537.01","NASDAQ","775,757,664.87"
"FB","FACEBOOK CLASS A INC","US30303M1027","B7TL820","1.0929","Information Technology","Equity","$768,410,774","7,967,760","96.44","NASDAQ","768,410,774.40"
"GOOGL","GOOGLE INC CLASS A","US38259P5089","B020QX2","1.0368","Information Technology","Equity","$728,986,569","1,082,723","673.29","NASDAQ","728,986,568.67"
"VZ","VERIZON COMMUNICATIONS INC","US92343V1044","2090571","1.0235","Telecommunications","Equity","$719,612,991","15,429,095","46.64","New York Stock Exchange Inc.","719,612,990.80"
"BAC","BANK OF AMERICA CORP","US0605051046","2295677","1.0098","Financials","Equity","$709,973,795","39,729,927","17.87","New York Stock Exchange Inc.","709,973,795.49"
"GOOG","GOOGLE INC CLASS C","US38259P7069","BKM4JZ7","0.9942","Information Technology","Equity","$699,024,049","1,085,812","643.78","NASDAQ","699,024,049.36"
"C","CITIGROUP INC","US1729674242","2297907","0.9590","Financials","Equity","$674,235,048","11,478,295","58.74","New York Stock Exchange Inc.","674,235,048.30"
"GILD","GILEAD SCIENCES INC","US3755581036","2369174","0.9383","Health Care","Equity","$659,699,525","5,559,578","118.66","NASDAQ","659,699,525.48"
"DIS","WALT DISNEY","US2546871060","2270726","0.9284","Consumer Discretionary","Equity","$652,724,304","5,905,404","110.53","New York Stock Exchange Inc.","652,724,304.12"
"MRK","MERCK & CO INC","US58933Y1055","2778844","0.8984","Health Care","Equity","$631,657,431","10,687,943","59.10","New York Stock Exchange Inc.","631,657,431.30"
"KO","COCA-COLA","US1912161007","2206657","0.8890","Consumer Staples","Equity","$625,071,246","14,840,248","42.12","New York Stock Exchange Inc.","625,071,245.76"
"CVX","CHEVRON CORP","US1667641005","2838555","0.8502","Energy","Equity","$597,783,958","7,113,935","84.03","New York Stock Exchange Inc.","597,783,958.05"
"HD","HOME DEPOT INC","US4370761029","2434209","0.8247","Consumer Discretionary","Equity","$579,860,968","4,914,076","118.00","New York Stock Exchange Inc.","579,860,968.00"
"CMCSA","COMCAST A CORP","US20030N1019","2044545","0.8089","Consumer Discretionary","Equity","$568,724,318","9,508,850","59.81","NASDAQ","568,724,318.50"
"PEP","PEPSICO INC","US7134481081","2681511","0.7878","Consumer Staples","Equity","$553,873,588","5,583,966","99.19","New York Stock Exchange Inc.","553,873,587.54"
"V","VISA INC CLASS A","US92826C8394","B2PZN04","0.7799","Information Technology","Equity","$548,316,218","7,312,833","74.98","New York Stock Exchange Inc.","548,316,218.34"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","US4592001014","2005973","0.7781","Information Technology","Equity","$547,049,445","3,464,531","157.90","New York Stock Exchange Inc.","547,049,444.90"
"CSCO","CISCO SYSTEMS INC","US17275R1023","2198163","0.7736","Information Technology","Equity","$543,918,843","19,240,143","28.27","NASDAQ","543,918,842.61"
"INTC","INTEL CORPORATION CORP","US4581401001","2463247","0.7433","Information Technology","Equity","$522,609,826","17,946,766","29.12","NASDAQ","522,609,825.92"
"AMGN","AMGEN INC","US0311621009","2023607","0.7218","Health Care","Equity","$507,500,547","2,876,335","176.44","NASDAQ","507,500,547.40"
"PM","PHILIP MORRIS INTERNATIONAL INC","US7181721090","B2PKRQ3","0.7159","Consumer Staples","Equity","$503,357,658","5,860,492","85.89","New York Stock Exchange Inc.","503,357,657.88"
"AGN","ALLERGAN","IE00BY9D5467","BY9D546","0.7108","Health Care","Equity","$499,787,526","1,484,635","336.64","New York Stock Exchange Inc.","499,787,526.40"
"ORCL","ORACLE CORP","US68389X1054","2661568","0.6800","Information Technology","Equity","$478,065,971","12,060,191","39.64","New York Stock Exchange Inc.","478,065,971.24"
"CVS","CVS HEALTH CORP","US1266501006","2577609","0.6751","Consumer Staples","Equity","$474,659,202","4,268,518","111.20","New York Stock Exchange Inc.","474,659,201.60"
"ABBV","ABBVIE INC","US00287Y1091","B92SR70","0.6504","Health Care","Equity","$457,313,029","6,505,164","70.30","New York Stock Exchange Inc.","457,313,029.20"
"UNH","UNITEDHEALTH GROUP INC","US91324P1021","2917766","0.6347","Health Care","Equity","$446,247,321","3,601,092","123.92","New York Stock Exchange Inc.","446,247,320.64"
