iShares Russell 1000 Growth ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$29,269,183,057"
Shares Outstanding,"291,150,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","US0378331005","2046251","APPLE INC","6.8894","Equity","Information Technology","$2,024,455,458","15,863,152","127.62","NASDAQ","2,024,455,458.24"
"MSFT","US5949181045","2588173","MICROSOFT CORP","2.2848","Equity","Information Technology","$671,395,035","14,060,629","47.75","NASDAQ","671,395,034.75"
"VZ","US92343V1044","2090571","VERIZON COMMUNICATIONS INC","1.8590","Equity","Telecommunications","$546,266,927","10,894,833","50.14","New York Stock Exchange Inc.","546,266,926.62"
"IBM","US4592001014","2005973","INTERNATIONAL BUSINESS MACHINES CO","1.4625","Equity","Information Technology","$429,750,788","2,488,712","172.68","New York Stock Exchange Inc.","429,750,788.16"
"AMZN","US0231351067","2000019","AMAZON COM INC","1.4587","Equity","Consumer Discretionary","$428,655,293","988,391","433.69","NASDAQ","428,655,292.79"
"KO","US1912161007","2206657","COCA-COLA","1.4568","Equity","Consumer Staples","$428,079,375","10,446,056","40.98","New York Stock Exchange Inc.","428,079,374.88"
"DIS","US2546871060","2270726","WALT DISNEY","1.4307","Equity","Consumer Discretionary","$420,418,038","3,818,164","110.11","New York Stock Exchange Inc.","420,418,038.04"
"GILD","US3755581036","2369174","GILEAD SCIENCES INC","1.4278","Equity","Health Care","$419,574,770","4,040,200","103.85","NASDAQ","419,574,770.00"
"FB","US30303M1027","B7TL820","FACEBOOK CLASS A INC","1.3879","Equity","Information Technology","$407,833,149","5,194,665","78.51","NASDAQ","407,833,149.15"
"GOOGL","US38259P5089","B020QX2","GOOGLE INC CLASS A","1.3795","Equity","Information Technology","$405,378,166","738,461","548.95","NASDAQ","405,378,165.95"
"GOOG","US38259P7069","BKM4JZ7","GOOGLE INC CLASS C","1.3723","Equity","Information Technology","$403,253,800","749,236","538.22","NASDAQ","403,253,799.92"
"PEP","US7134481081","2681511","PEPSICO INC","1.3105","Equity","Consumer Staples","$385,095,661","3,988,562","96.55","New York Stock Exchange Inc.","385,095,661.10"
"HD","US4370761029","2434209","HOME DEPOT INC","1.3075","Equity","Consumer Discretionary","$384,214,390","3,416,150","112.47","New York Stock Exchange Inc.","384,214,390.50"
"ORCL","US68389X1054","2661568","ORACLE CORP","1.2942","Equity","Information Technology","$380,297,804","8,641,168","44.01","New York Stock Exchange Inc.","380,297,803.68"
"V","US92826C8394","B2PZN04","VISA INC CLASS A","1.2475","Equity","Information Technology","$366,585,131","5,276,884","69.47","New York Stock Exchange Inc.","366,585,131.48"
"CMCSA","US20030N1019","2044545","COMCAST A CORP","1.2395","Equity","Consumer Discretionary","$364,223,557","6,235,637","58.41","NASDAQ","364,223,557.17"
"SLB","AN8068571086","2779201","SCHLUMBERGER NV","1.0762","Equity","Energy","$316,258,303","3,421,598","92.43","New York Stock Exchange Inc.","316,258,303.14"
"QCOM","US7475251036","2714923","QUALCOMM INC","1.0489","Equity","Information Technology","$308,223,781","4,440,625","69.41","NASDAQ","308,223,781.25"
"AMGN","US0311621009","2023607","AMGEN INC","1.0431","Equity","Health Care","$306,511,881","1,888,086","162.34","NASDAQ","306,511,881.24"
"ACT","IE00BD1NQJ95","BD1NQJ9","ACTAVIS PLC","0.9531","Equity","Health Care","$280,059,490","956,422","292.82","New York Stock Exchange Inc.","280,059,490.04"
"BA","US0970231058","2108601","BOEING","0.9497","Equity","Industrials","$279,068,356","1,918,523","145.46","New York Stock Exchange Inc.","279,068,355.58"
"MMM","US88579Y1010","2595708","3M CO","0.9408","Equity","Industrials","$276,446,883","1,721,338","160.60","New York Stock Exchange Inc.","276,446,882.80"
"ABBV","US00287Y1091","B92SR70","ABBVIE INC","0.9288","Equity","Health Care","$272,918,949","4,183,307","65.24","New York Stock Exchange Inc.","272,918,948.68"
"MO","US02209S1033","2692632","ALTRIA GROUP INC","0.8778","Equity","Consumer Staples","$257,927,750","4,943,986","52.17","New York Stock Exchange Inc.","257,927,749.62"
"UNP","US9078181081","2914734","UNION PACIFIC CORP","0.8713","Equity","Industrials","$256,045,099","2,383,145","107.44","New York Stock Exchange Inc.","256,045,098.80"
"MCD","US5801351017","2550707","MCDONALDS CORP","0.8693","Equity","Consumer Discretionary","$255,440,534","2,600,433","98.23","New York Stock Exchange Inc.","255,440,533.59"
"BIIB","US09062X1037","2455965","BIOGEN INC INC","0.8462","Equity","Health Care","$248,641,835","624,054","398.43","NASDAQ","248,641,835.22"
"MA","US57636Q1040","B121557","MASTERCARD INC CLASS A","0.8417","Equity","Information Technology","$247,329,274","2,644,950","93.51","New York Stock Exchange Inc.","247,329,274.50"
"CELG","US1510201049","2182348","CELGENE CORP","0.8117","Equity","Health Care","$238,524,413","2,106,920","113.21","NASDAQ","238,524,413.20"
"HON","US4385161066","2020459","HONEYWELL INTERNATIONAL INC","0.7160","Equity","Industrials","$210,400,083","2,060,322","102.12","New York Stock Exchange Inc.","210,400,082.64"
"PM","US7181721090","B2PKRQ3","PHILIP MORRIS INTERNATIONAL INC","0.7042","Equity","Consumer Staples","$206,933,751","2,429,085","85.19","New York Stock Exchange Inc.","206,933,751.15"
"SBUX","US8552441094","2842255","STARBUCKS CORP N1","0.6710","Equity","Consumer Discretionary","$197,184,603","3,961,121","49.78","NASDAQ","197,184,603.38"
"EBAY","US2786421030","2293819","EBAY INC","0.6674","Equity","Information Technology","$196,122,761","3,334,287","58.82","NASDAQ","196,122,761.34"
"AXP","US0258161092","2026082","AMERICAN EXPRESS","0.6415","Equity","Financials","$188,494,853","2,386,615","78.98","New York Stock Exchange Inc.","188,494,852.70"
"NKE","US6541061031","2640147","NIKE INC CLASS B","0.6406","Equity","Consumer Discretionary","$188,252,451","1,837,685","102.44","New York Stock Exchange Inc.","188,252,451.40"
"UPS","US9113121068","2517382","UNITED PARCEL SERVICE INC CLASS B","0.6360","Equity","Industrials","$186,897,718","1,862,273","100.36","New York Stock Exchange Inc.","186,897,718.28"
"LOW","US5486611073","2536763","LOWES COMPANIES INC","0.6243","Equity","Consumer Discretionary","$183,454,322","2,504,154","73.26","New York Stock Exchange Inc.","183,454,322.04"
"DD","US2635341090","2018175","E I DU PONT DE NEMOURS","0.5843","Equity","Materials","$171,699,678","2,280,814","75.28","New York Stock Exchange Inc.","171,699,677.92"
"PCLN","US7415034039","2779063","PRICELINE GROUP INC/THE","0.5564","Equity","Consumer Discretionary","$163,489,546","135,703","1,204.76","NASDAQ","163,489,546.28"
"WBA","US9314271084","BTN1Y44","WALGREEN BOOTS ALLIANCE","0.5463","Equity","Consumer Staples","$160,528,047","1,888,121","85.02","NASDAQ","160,528,047.42"
"ACN","IE00B4BNMY34","B4BNMY3","ACCENTURE PLC","0.5431","Equity","Information Technology","$159,586,563","1,664,267","95.89","New York Stock Exchange Inc.","159,586,562.63"
"COST","US22160K1051","2701271","COSTCO WHOLESALE CORP","0.5412","Equity","Consumer Staples","$159,035,167","1,090,178","145.88","NASDAQ","159,035,166.64"
"TXN","US8825081040","2885409","TEXAS INSTRUMENTS INCORPORATED","0.5286","Equity","Information Technology","$155,332,465","2,839,716","54.70","NASDAQ","155,332,465.20"
"MON","US61166W1018","2654320","MONSANTO","0.5230","Equity","Materials","$153,684,861","1,272,331","120.79","New York Stock Exchange Inc.","153,684,861.49"
"CL","US1941621039","2209106","COLGATE-PALMOLIVE","0.4997","Equity","Consumer Staples","$146,838,283","2,153,054","68.20","New York Stock Exchange Inc.","146,838,282.80"
"ESRX","US30219G1085","B7QQYV9","EXPRESS SCRIPTS HOLDING CO","0.4877","Equity","Health Care","$143,320,319","1,672,154","85.71","NASDAQ","143,320,319.34"
"MCK","US58155Q1031","2378534","MCKESSON CORP","0.4729","Equity","Health Care","$138,969,320","606,641","229.08","New York Stock Exchange Inc.","138,969,320.28"
"LMT","US5398301094","2522096","LOCKHEED MARTIN CORP","0.4621","Equity","Industrials","$135,800,049","712,936","190.48","New York Stock Exchange Inc.","135,800,049.28"
"KRFT","US50076Q1067","B8P0S06","KRAFT FOODS GROUP INC","0.4586","Equity","Consumer Staples","$134,757,999","1,566,225","86.04","NASDAQ","134,757,999.00"
"EOG","US26875P1012","2318024","EOG RESOURCES INC","0.4575","Equity","Energy","$134,438,134","1,437,841","93.50","New York Stock Exchange Inc.","134,438,133.50"
"TJX","US8725401090","2989301","TJX INC","0.4221","Equity","Consumer Discretionary","$124,037,908","1,842,512","67.32","New York Stock Exchange Inc.","124,037,907.84"
"FOXA","US90130A1016","BBM4S68","TWENTY FIRST CENTURY FOX INC CLASS","0.4120","Equity","Consumer Discretionary","$121,076,091","3,692,470","32.79","NASDAQ","121,076,091.30"
"JNJ","US4781601046","2475833","JOHNSON & JOHNSON","0.4035","Equity","Health Care","$118,577,030","1,168,592","101.47","New York Stock Exchange Inc.","118,577,030.24"
"CRM","US79466L3024","2310525","SALESFORCE.COM INC","0.3980","Equity","Information Technology","$116,957,494","1,615,435","72.40","New York Stock Exchange Inc.","116,957,494.00"
"SPG","US8288061091","2812452","SIMON PROPERTY GROUP REIT INC","0.3894","Equity","Financials","$114,417,711","609,740","187.65","New York Stock Exchange Inc.","114,417,711.00"
"LYB","NL0009434992","B3SPXZ3","LYONDELLBASELL INDUSTRIES NV CLASS","0.3892","Equity","Materials","$114,366,357","1,101,477","103.83","New York Stock Exchange Inc.","114,366,356.91"
"TWC","US88732J2078","B63BPC8","TIME WARNER CABLE INC","0.3859","Equity","Consumer Discretionary","$113,384,771","733,028","154.68","New York Stock Exchange Inc.","113,384,771.04"
"ADP","US0530151036","2065308","AUTOMATIC DATA PROCESSING INC","0.3770","Equity","Information Technology","$110,795,963","1,268,414","87.35","NASDAQ","110,795,962.90"
"DTV","US25490A3095","B84LSN3","DIRECTV","0.3743","Equity","Consumer Discretionary","$109,994,871","1,230,643","89.38","NASDAQ","109,994,871.34"
"HAL","US4062161017","2405302","HALLIBURTON","0.3638","Equity","Energy","$106,896,908","2,221,927","48.11","New York Stock Exchange Inc.","106,896,907.97"
"AMT","US03027X1000","B7FBFL2","AMERICAN TOWER REIT CORP","0.3592","Equity","Financials","$105,561,327","1,111,757","94.95","New York Stock Exchange Inc.","105,561,327.15"
"YUM","US9884981013","2098876","YUM BRANDS INC","0.3552","Equity","Consumer Discretionary","$104,375,487","1,161,276","89.88","New York Stock Exchange Inc.","104,375,486.88"
"BMY","US1101221083","2126335","BRISTOL MYERS SQUIBB","0.3545","Equity","Health Care","$104,179,021","1,556,537","66.93","New York Stock Exchange Inc.","104,179,021.41"
"CTSH","US1924461023","2257019","COGNIZANT TECHNOLOGY SOLUTIONS COR","0.3437","Equity","Information Technology","$100,998,068","1,600,857","63.09","NASDAQ","100,998,068.13"
"WMB","US9694571004","2967181","WILLIAMS INC","0.3407","Equity","Energy","$100,113,859","1,965,329","50.94","New York Stock Exchange Inc.","100,113,859.26"
"ADBE","US00724F1012","2008154","ADOBE SYSTEM INC","0.3401","Equity","Information Technology","$99,930,845","1,309,538","76.31","NASDAQ","99,930,844.78"
"REGN","US75886F1075","2730190","REGENERON PHARMACEUTICALS INC","0.3398","Equity","Health Care","$99,862,862","207,490","481.29","NASDAQ","99,862,862.10"
