iShares Russell 1000 Growth ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$30,179,786,418"
Shares Outstanding,"299,300,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","APPLE INC","US0378331005","2046251","6.0834","Information Technology","Equity","$1,859,602,568","16,114,407","115.40","NASDAQ","1,859,602,567.80"
"MSFT","MICROSOFT CORP","US5949181045","2588173","1.9970","Information Technology","Equity","$610,449,259","12,829,955","47.58","NASDAQ","610,449,258.90"
"FB","FACEBOOK CLASS A INC","US30303M1027","B7TL820","1.9097","Information Technology","Equity","$583,761,639","6,053,107","96.44","NASDAQ","583,761,639.08"
"AMZN","AMAZON COM INC","US0231351067","2000019","1.8731","Consumer Discretionary","Equity","$572,564,895","1,066,209","537.01","NASDAQ","572,564,895.09"
"GOOGL","GOOGLE INC CLASS A","US38259P5089","B020QX2","1.7760","Information Technology","Equity","$542,882,480","806,313","673.29","NASDAQ","542,882,479.77"
"GOOG","GOOGLE INC CLASS C","US38259P7069","BKM4JZ7","1.7329","Information Technology","Equity","$529,716,347","822,822","643.78","NASDAQ","529,716,347.16"
"DIS","WALT DISNEY","US2546871060","2270726","1.7161","Consumer Discretionary","Equity","$524,586,212","4,746,098","110.53","New York Stock Exchange Inc.","524,586,211.94"
"VZ","VERIZON COMMUNICATIONS INC","US92343V1044","2090571","1.6153","Telecommunications","Equity","$493,767,233","10,586,776","46.64","New York Stock Exchange Inc.","493,767,232.64"
"GILD","GILEAD SCIENCES INC","US3755581036","2369174","1.5957","Health Care","Equity","$487,777,323","4,110,714","118.66","NASDAQ","487,777,323.24"
"KO","COCA-COLA","US1912161007","2206657","1.5113","Consumer Staples","Equity","$461,987,281","10,968,359","42.12","New York Stock Exchange Inc.","461,987,281.08"
"HD","HOME DEPOT INC","US4370761029","2434209","1.4026","Consumer Discretionary","Equity","$428,746,628","3,633,446","118.00","New York Stock Exchange Inc.","428,746,628.00"
"V","VISA INC CLASS A","US92826C8394","B2PZN04","1.3430","Information Technology","Equity","$410,534,170","5,475,249","74.98","New York Stock Exchange Inc.","410,534,170.02"
"PEP","PEPSICO INC","US7134481081","2681511","1.3397","Consumer Staples","Equity","$409,530,514","4,128,748","99.19","New York Stock Exchange Inc.","409,530,514.12"
"AMGN","AMGEN INC","US0311621009","2023607","1.2276","Health Care","Equity","$375,244,476","2,126,754","176.44","NASDAQ","375,244,475.76"
"ABBV","ABBVIE INC","US00287Y1091","B92SR70","1.1258","Health Care","Equity","$344,123,421","4,895,070","70.30","New York Stock Exchange Inc.","344,123,421.00"
"CVS","CVS HEALTH CORP","US1266501006","2577609","1.0643","Consumer Staples","Equity","$325,341,287","2,925,731","111.20","New York Stock Exchange Inc.","325,341,287.20"
"CMCSA","COMCAST A CORP","US20030N1019","2044545","1.0492","Consumer Discretionary","Equity","$320,708,577","5,362,123","59.81","NASDAQ","320,708,576.63"
"UNH","UNITEDHEALTH GROUP INC","US91324P1021","2917766","1.0254","Health Care","Equity","$313,455,516","2,529,499","123.92","New York Stock Exchange Inc.","313,455,516.08"
"BMY","BRISTOL MYERS SQUIBB","US1101221083","2126335","0.9924","Health Care","Equity","$303,362,549","4,662,812","65.06","New York Stock Exchange Inc.","303,362,548.72"
"CELG","CELGENE CORP","US1510201049","2182348","0.9632","Health Care","Equity","$294,446,620","2,218,555","132.72","NASDAQ","294,446,619.60"
"MO","ALTRIA GROUP INC","US02209S1033","2692632","0.9393","Consumer Staples","Equity","$287,126,588","5,176,250","55.47","New York Stock Exchange Inc.","287,126,587.50"
"BA","BOEING","US0970231058","2108601","0.9172","Industrials","Equity","$280,375,770","1,934,293","144.95","New York Stock Exchange Inc.","280,375,770.35"
"MA","MASTERCARD INC CLASS A","US57636Q1040","B121557","0.8989","Information Technology","Equity","$274,784,539","2,796,220","98.27","New York Stock Exchange Inc.","274,784,539.40"
"MMM","3M CO","US88579Y1010","2595708","0.8766","Industrials","Equity","$267,947,614","1,774,370","151.01","New York Stock Exchange Inc.","267,947,613.70"
"MCD","MCDONALDS CORP","US5801351017","2550707","0.8753","Consumer Discretionary","Equity","$267,577,473","2,681,137","99.80","New York Stock Exchange Inc.","267,577,472.60"
"SBUX","STARBUCKS CORP","US8552441094","2842255","0.8102","Consumer Discretionary","Equity","$247,675,179","4,197,173","59.01","NASDAQ","247,675,178.73"
"UNP","UNION PACIFIC CORP","US9078181081","2914734","0.7617","Industrials","Equity","$232,843,923","2,449,184","95.07","New York Stock Exchange Inc.","232,843,922.88"
"LLY","ELI LILLY","US5324571083","2516152","0.7586","Health Care","Equity","$231,905,756","2,736,997","84.73","New York Stock Exchange Inc.","231,905,755.81"
"HON","HONEYWELL INTERNATIONAL INC","US4385161066","2020459","0.7563","Industrials","Equity","$231,186,998","2,186,579","105.73","New York Stock Exchange Inc.","231,186,997.67"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","US4592001014","2005973","0.7282","Information Technology","Equity","$222,589,419","1,409,686","157.90","New York Stock Exchange Inc.","222,589,419.40"
"NKE","NIKE INC CLASS B","US6541061031","2640147","0.7244","Consumer Discretionary","Equity","$221,432,837","1,896,641","116.75","New York Stock Exchange Inc.","221,432,836.75"
"BIIB","BIOGEN INC INC","US09062X1037","2455965","0.7220","Health Care","Equity","$220,692,736","657,979","335.41","NASDAQ","220,692,736.39"
"ORCL","ORACLE CORP","US68389X1054","2661568","0.6896","Information Technology","Equity","$210,790,615","5,317,624","39.64","New York Stock Exchange Inc.","210,790,615.36"
"UPS","UNITED PARCEL SERVICE INC CLASS B","US9113121068","2517382","0.6608","Industrials","Equity","$202,005,956","1,962,366","102.94","New York Stock Exchange Inc.","202,005,956.04"
"PCLN","PRICELINE GROUP INC/THE","US7415034039","2779063","0.6410","Consumer Discretionary","Equity","$195,930,855","145,004","1,351.21","NASDAQ","195,930,854.84"
"LOW","LOWES COMPANIES INC","US5486611073","2536763","0.6091","Consumer Discretionary","Equity","$186,187,274","2,662,100","69.94","New York Stock Exchange Inc.","186,187,274.00"
"PM","PHILIP MORRIS INTERNATIONAL INC","US7181721090","B2PKRQ3","0.6063","Consumer Staples","Equity","$185,346,068","2,157,947","85.89","New York Stock Exchange Inc.","185,346,067.83"
