iShares Global Financials ETF
Inception Date,"Nov 12, 2001"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$291,108,763"
Shares Outstanding,"4,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"BRKB","US0846707026","2073390","BERKSHIRE HATHAWAY INC CLASS B","3.8279","Equity","Financials","United States","$11,162,404","75,264","148.31","New York Stock Exchange Inc.","USD","USD","1.00","11,162,403.84"
"WFC","US9497461015","2649100","WELLS FARGO","3.7259","Equity","Financials","United States","$10,864,956","193,844","56.05","New York Stock Exchange Inc.","USD","USD","1.00","10,864,956.20"
"JPM","US46625H1005","2190385","JPMORGAN CHASE & CO","3.4510","Equity","Financials","United States","$10,063,455","153,664","65.49","New York Stock Exchange Inc.","USD","USD","1.00","10,063,455.36"
"HSBA","GB0005405286","0540528","HSBC HOLDINGS PLC","2.6691","Equity","Financials","United Kingdom","$7,783,458","787,136","9.89","London Stock Exchange","USD","GBP","0.65","7,783,457.69"
"BAC","US0605051046","2295677","BANK OF AMERICA CORP","2.4457","Equity","Financials","United States","$7,131,930","433,552","16.45","New York Stock Exchange Inc.","USD","USD","1.00","7,131,930.40"
"C","US1729674242","2297907","CITIGROUP INC","2.3092","Equity","Financials","United States","$6,733,917","124,656","54.02","New York Stock Exchange Inc.","USD","USD","1.00","6,733,917.12"
"SAN","ES0113900J37","5705946","BANCO SANTANDER SA","1.5173","Equity","Financials","Spain","$4,424,531","579,994","7.63","Bolsa De Madrid","USD","EUR","0.89","4,424,530.63"
"CBA","AU000000CBA7","6215035","COMMONWEALTH BANK OF AUSTRALIA","1.5079","Equity","Financials","Australia","$4,397,087","67,326","65.31","Asx - All Markets","USD","AUD","1.27","4,397,087.45"
"8306","JP3902900004","6335171","MITSUBISHI UFJ FINANCIAL GROUP INC","1.4615","Equity","Financials","Japan","$4,261,971","578,200","7.37","Tokyo Stock Exchange","USD","JPY","119.76","4,261,971.03"
"RY","CA7800871021","2754383","ROYAL BANK OF CANADA","1.3332","Equity","Financials","Canada","$3,887,813","59,584","65.25","Toronto Stock Exchange","USD","CAD","1.21","3,887,813.04"
"TD","CA8911605092","2897222","TORONTO DOMINION","1.2008","Equity","Financials","Canada","$3,501,689","76,440","45.81","Toronto Stock Exchange","USD","CAD","1.21","3,501,689.00"
"WBC","AU000000WBC1","6076146","WESTPAC BANKING CORPORATION CORP","1.1865","Equity","Financials","Australia","$3,459,944","128,576","26.91","Asx - All Markets","USD","AUD","1.27","3,459,943.52"
"AIG","US0268747849","2027342","AMERICAN INTERNATIONAL GROUP INC","1.1751","Equity","Financials","United States","$3,426,729","57,428","59.67","New York Stock Exchange Inc.","USD","USD","1.00","3,426,728.76"
"GS","US38141G1040","2407966","GOLDMAN SACHS GROUP INC","1.1522","Equity","Financials","United States","$3,359,979","16,758","200.50","New York Stock Exchange Inc.","USD","USD","1.00","3,359,979.00"
"939","CNE1000002H1","B0LMTQ3","CHINA CONSTRUCTION BANK CORP H","1.1197","Equity","Financials","China","$3,265,077","3,430,720","0.95","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","3,265,077.07"
"1299","HK0000069689","B4TX8S1","AIA GROUP LTD","1.1106","Equity","Financials","Hong Kong","$3,238,484","490,000","6.61","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","3,238,483.96"
"USB","US9029733048","2736035","US BANCORP","1.1011","Equity","Financials","United States","$3,210,815","73,206","43.86","New York Stock Exchange Inc.","USD","USD","1.00","3,210,815.16"
"ALV","DE0008404005","5231485","ALLIANZ SE","1.0930","Equity","Financials","Germany","$3,187,418","18,816","169.40","Xetra","USD","EUR","0.89","3,187,418.17"
"UBSG","CH0244767585","BRJL176","UBS GROUP REGISTERED AG","1.0896","Equity","Financials","Switzerland","$3,177,374","148,764","21.36","Six Swiss Exchange Ag","USD","CHF","0.93","3,177,374.49"
