iShares Global Financials ETF
Inception Date,"Nov 12, 2001"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$443,465,485"
Shares Outstanding,"7,650,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"WFC","WELLS FARGO","US9497461015","2649100","3.8588","Financials","Equity","United States","$17,164,596","297,738","57.65","New York Stock Exchange Inc.","USD","USD","1.00","17,164,595.70"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","US0846707026","2073390","3.7710","Financials","Equity","United States","$16,774,002","116,892","143.50","New York Stock Exchange Inc.","USD","USD","1.00","16,774,002.00"
"JPM","JPMORGAN CHASE & CO","US46625H1005","2190385","3.6454","Financials","Equity","United States","$16,215,194","235,926","68.73","New York Stock Exchange Inc.","USD","USD","1.00","16,215,193.98"
"BAC","BANK OF AMERICA CORP","US0605051046","2295677","2.6867","Financials","Equity","United States","$11,950,795","668,763","17.87","New York Stock Exchange Inc.","USD","USD","1.00","11,950,794.81"
"HSBA","HSBC HOLDINGS PLC","GB0005405286","0540528","2.5893","Financials","Equity","United Kingdom","$11,517,646","1,241,136","9.28","London Stock Exchange","USD","GBP","0.64","11,517,645.52"
"C","CITIGROUP INC","US1729674242","2297907","2.5498","Financials","Equity","United States","$11,341,872","193,086","58.74","New York Stock Exchange Inc.","USD","USD","1.00","11,341,871.64"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","AU000000CBA7","6215035","1.5031","Financials","Equity","Australia","$6,685,950","104,193","64.17","Asx - All Markets","USD","AUD","1.36","6,685,949.83"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","JP3902900004","6335171","1.4385","Financials","Equity","Japan","$6,398,594","902,700","7.09","Tokyo Stock Exchange","USD","JPY","125.00","6,398,593.54"
"SAN","BANCO SANTANDER SA","ES0113900J37","5705946","1.3887","Financials","Equity","Spain","$6,177,175","905,913","6.82","Bolsa De Madrid","USD","EUR","0.92","6,177,175.02"
"RY","ROYAL BANK OF CANADA","CA7800871021","2754383","1.2186","Financials","Equity","Canada","$5,420,306","92,412","58.65","Toronto Stock Exchange","USD","CAD","1.32","5,420,305.73"
"AIG","AMERICAN INTERNATIONAL GROUP INC","US0268747849","2027342","1.2127","Financials","Equity","United States","$5,394,413","85,680","62.96","New York Stock Exchange Inc.","USD","USD","1.00","5,394,412.80"
"UBSG","UBS GROUP REGISTERED AG","CH0244767585","BRJL176","1.1911","Financials","Equity","Switzerland","$5,298,251","231,489","22.89","Six Swiss Exchange Ag","USD","CHF","0.98","5,298,250.91"
"GS","GOLDMAN SACHS GROUP INC","US38141G1040","2407966","1.1887","Financials","Equity","United States","$5,287,313","25,704","205.70","New York Stock Exchange Inc.","USD","USD","1.00","5,287,312.80"
"WBC","WESTPAC BANKING CORPORATION CORP","AU000000WBC1","6076146","1.1562","Financials","Equity","Australia","$5,143,015","203,031","25.33","Asx - All Markets","USD","AUD","1.36","5,143,014.91"
"1299","AIA GROUP LTD","HK0000069689","B4TX8S1","1.1513","Financials","Equity","Hong Kong","$5,121,316","795,600","6.44","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","5,121,315.79"
"USB","US BANCORP","US9029733048","2736035","1.1407","Financials","Equity","United States","$5,074,077","111,690","45.43","New York Stock Exchange Inc.","USD","USD","1.00","5,074,076.70"
"ALV","ALLIANZ SE","DE0008404005","5231485","1.0993","Financials","Equity","Germany","$4,889,964","29,070","168.21","Xetra","USD","EUR","0.92","4,889,964.12"
"TD","TORONTO DOMINION","CA8911605092","2897222","1.0729","Financials","Equity","Canada","$4,772,474","117,963","40.46","Toronto Stock Exchange","USD","CAD","1.32","4,772,473.60"
"LLOY","LLOYDS BANKING GROUP PLC","GB0008706128","0870612","0.9857","Financials","Equity","United Kingdom","$4,384,692","3,388,950","1.29","London Stock Exchange","USD","GBP","0.64","4,384,692.31"
"939","CHINA CONSTRUCTION BANK CORP H","CNE1000002H1","B0LMTQ3","0.9847","Financials","Equity","China","$4,380,194","5,355,720","0.82","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","4,380,194.12"
"BNP","BNP PARIBAS SA","FR0000131104","7309681","0.9783","Financials","Equity","France","$4,351,764","66,249","65.69","Nyse Euronext - Euronext Paris","USD","EUR","0.92","4,351,763.82"
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING","AU000000ANZ3","6065586","0.9630","Financials","Equity","Australia","$4,283,419","179,010","23.93","Asx - All Markets","USD","AUD","1.36","4,283,419.48"
"BARC","BARCLAYS PLC","GB0031348658","3134865","0.9542","Financials","Equity","United Kingdom","$4,244,312","964,359","4.40","London Stock Exchange","USD","GBP","0.64","4,244,311.76"
"NAB","NATIONAL AUSTRALIA BANK LTD","AU000000NAB4","6624608","0.9473","Financials","Equity","Australia","$4,213,826","167,076","25.22","Asx - All Markets","USD","AUD","1.36","4,213,825.97"
"AXP","AMERICAN EXPRESS","US0258161092","2026082","0.9464","Financials","Equity","United States","$4,209,758","55,692","75.59","New York Stock Exchange Inc.","USD","USD","1.00","4,209,758.28"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","JP3890350006","6563024","0.9155","Financials","Equity","Japan","$4,072,411","91,800","44.36","Tokyo Stock Exchange","USD","JPY","125.00","4,072,410.90"
"INGA","ING GROEP NV","NL0000303600","7154182","0.9032","Financials","Equity","Netherlands","$4,017,488","245,412","16.37","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.92","4,017,488.25"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA OR","ES0113211835","5501906","0.9031","Financials","Equity","Spain","$4,017,145","399,483","10.06","Bolsa De Madrid","USD","EUR","0.92","4,017,144.76"
