iShares U.S. Energy ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$2,141,306,696"
Shares Outstanding,"47,250,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"XOM","US30231G1022","2326618","EXXON MOBIL CORP","21.3859","Equity","Energy","$466,140,566","5,238,123","88.99","New York Stock Exchange Inc.","466,140,565.77"
"CVX","US1667641005","2838555","CHEVRON CORP","11.7035","Equity","Energy","$255,095,967","2,347,869","108.65","New York Stock Exchange Inc.","255,095,966.85"
"SLB","AN8068571086","2779201","SCHLUMBERGER NV","6.7534","Equity","Energy","$147,202,354","1,592,582","92.43","New York Stock Exchange Inc.","147,202,354.26"
"COP","US20825C1045","2685717","CONOCOPHILLIPS","4.7391","Equity","Energy","$103,296,646","1,537,839","67.17","New York Stock Exchange Inc.","103,296,645.63"
"KMI","US49456B1017","B3NQ4P8","KINDER MORGAN INC","4.2010","Equity","Energy","$91,566,506","2,127,969","43.03","New York Stock Exchange Inc.","91,566,506.07"
"OXY","US6745991058","2655408","OCCIDENTAL PETROLEUM CORP","3.4391","Equity","Energy","$74,960,599","962,267","77.90","New York Stock Exchange Inc.","74,960,599.30"
"EOG","US26875P1012","2318024","EOG RESOURCES INC","2.9379","Equity","Energy","$64,036,748","684,885","93.50","New York Stock Exchange Inc.","64,036,747.50"
"APC","US0325111070","2032380","ANADARKO PETROLEUM CORP","2.5706","Equity","Energy","$56,030,761","632,687","88.56","New York Stock Exchange Inc.","56,030,760.72"
"PSX","US7185461040","B78C4Y8","PHILLIPS 66","2.5419","Equity","Energy","$55,405,138","678,735","81.63","New York Stock Exchange Inc.","55,405,138.05"
"HAL","US4062161017","2405302","HALLIBURTON","2.3420","Equity","Energy","$51,048,463","1,061,078","48.11","New York Stock Exchange Inc.","51,048,462.58"
"WMB","US9694571004","2967181","WILLIAMS INC","1.9645","Equity","Energy","$42,818,890","840,575","50.94","New York Stock Exchange Inc.","42,818,890.50"
"VLO","US91913Y1001","2041364","VALERO ENERGY CORP","1.7432","Equity","Energy","$37,996,406","643,026","59.09","New York Stock Exchange Inc.","37,996,406.34"
"BHI","US0572241075","2072085","BAKER HUGHES INC","1.6857","Equity","Energy","$36,742,889","542,731","67.70","New York Stock Exchange Inc.","36,742,888.70"
"MPC","US56585A1025","B3K3L40","MARATHON PETROLEUM CORP","1.6408","Equity","Energy","$35,764,709","341,006","104.88","New York Stock Exchange Inc.","35,764,709.28"
"DVN","US25179M1036","2480677","DEVON ENERGY CORP","1.5031","Equity","Energy","$32,762,831","482,587","67.89","New York Stock Exchange Inc.","32,762,831.43"
"SE","US8475601097","B1L60G9","SPECTRA ENERGY CORP","1.4238","Equity","Energy","$31,034,547","838,092","37.03","New York Stock Exchange Inc.","31,034,546.76"
"APA","US0374111054","2043962","APACHE CORP","1.4149","Equity","Energy","$30,840,961","470,567","65.54","New York Stock Exchange Inc.","30,840,961.18"
"PXD","US7237871071","2690830","PIONEER NATURAL RESOURCE","1.3575","Equity","Energy","$29,589,614","186,028","159.06","New York Stock Exchange Inc.","29,589,613.68"
"NOV","US6370711011","2624486","NATIONAL OILWELL VARCO INC","1.2502","Equity","Energy","$27,250,939","511,947","53.23","New York Stock Exchange Inc.","27,250,938.81"
"MRO","US5658491064","2910970","MARATHON OIL CORP","1.1335","Equity","Energy","$24,706,483","842,937","29.31","New York Stock Exchange Inc.","24,706,483.47"
"NBL","US6550441058","2640761","NOBLE ENERGY INC","1.0885","Equity","Energy","$23,726,139","483,024","49.12","New York Stock Exchange Inc.","23,726,138.88"
"HES","US42809H1077","2023748","HESS CORP","1.0353","Equity","Energy","$22,565,833","303,549","74.34","New York Stock Exchange Inc.","22,565,832.66"
"LNG","US16411R2085","2654364","CHENIERE ENERGY INC","0.9848","Equity","Energy","$21,464,820","275,190","78.00","Nyse Mkt Llc","21,464,820.00"
"COG","US1270971039","2162340","CABOT OIL & GAS CORP","0.8300","Equity","Energy","$18,092,397","516,041","35.06","New York Stock Exchange Inc.","18,092,397.46"
"CXO","US20605P1012","B1YWRK7","CONCHO RESOURCES INC","0.8074","Equity","Energy","$17,599,491","148,770","118.30","New York Stock Exchange Inc.","17,599,491.00"
"EQT","US26884L1098","2319414","EQT CORP","0.7906","Equity","Energy","$17,233,336","189,690","90.85","New York Stock Exchange Inc.","17,233,336.50"
"WFT","IE00BLNN3691","BLNN369","WEATHERFORD INTERNATIONAL PLC","0.6490","Equity","Energy","$14,145,095","966,195","14.64","New York Stock Exchange Inc.","14,145,094.80"
"TSO","US8816091016","2884569","TESORO CORP.","0.6477","Equity","Energy","$14,118,590","156,041","90.48","New York Stock Exchange Inc.","14,118,589.68"
"SWN","US8454671095","2828619","SOUTHWESTERN ENERGY","0.6374","Equity","Energy","$13,893,023","480,063","28.94","New York Stock Exchange Inc.","13,893,023.22"
"RRC","US75281A1097","2523334","RANGE RESOURCES CORP","0.6110","Equity","Energy","$13,317,545","207,148","64.29","New York Stock Exchange Inc.","13,317,544.92"
