iShares U.S. Energy ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$1,204,139,587"
Shares Outstanding,"31,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"XOM","EXXON MOBIL CORP","US30231G1022","2326618","22.5276","Energy","Equity","$266,496,100","3,453,364","77.17","New York Stock Exchange Inc.","266,496,099.88"
"CVX","CHEVRON CORP","US1667641005","2838555","11.0327","Energy","Equity","$130,514,052","1,553,184","84.03","New York Stock Exchange Inc.","130,514,051.52"
"SLB","SCHLUMBERGER NV","AN8068571086","2779201","7.3137","Energy","Equity","$86,519,648","1,048,723","82.50","New York Stock Exchange Inc.","86,519,647.50"
"COP","CONOCOPHILLIPS","US20825C1045","2685717","4.2283","Energy","Equity","$50,020,124","1,018,325","49.12","New York Stock Exchange Inc.","50,020,124.00"
"KMI","KINDER MORGAN INC","US49456B1017","B3NQ4P8","3.9044","Energy","Equity","$46,188,314","1,432,640","32.24","New York Stock Exchange Inc.","46,188,313.60"
"OXY","OCCIDENTAL PETROLEUM CORP","US6745991058","2655408","3.6823","Energy","Equity","$43,560,650","634,440","68.66","New York Stock Exchange Inc.","43,560,650.40"
"PSX","PHILLIPS 66","US7185461040","B78C4Y8","2.9642","Energy","Equity","$35,065,526","447,950","78.28","New York Stock Exchange Inc.","35,065,526.00"
"EOG","EOG RESOURCES INC","US26875P1012","2318024","2.9162","Energy","Equity","$34,498,369","453,389","76.09","New York Stock Exchange Inc.","34,498,369.01"
"APC","ANADARKO PETROLEUM CORP","US0325111070","2032380","2.6247","Energy","Equity","$31,049,563","419,532","74.01","New York Stock Exchange Inc.","31,049,563.32"
"HAL","HALLIBURTON","US4062161017","2405302","2.4126","Energy","Equity","$28,540,018","702,783","40.61","New York Stock Exchange Inc.","28,540,017.63"
"WMB","WILLIAMS INC","US9694571004","2967181","2.3137","Energy","Equity","$27,370,322","556,760","49.16","New York Stock Exchange Inc.","27,370,321.60"
"VLO","VALERO ENERGY CORP","US91913Y1001","2041364","2.3018","Energy","Equity","$27,230,428","420,093","64.82","New York Stock Exchange Inc.","27,230,428.26"
"MPC","MARATHON PETROLEUM CORP","US56585A1025","B3K3L40","1.9602","Energy","Equity","$23,189,074","448,705","51.68","New York Stock Exchange Inc.","23,189,074.40"
"BHI","BAKER HUGHES INC","US0572241075","2072085","1.7095","Energy","Equity","$20,222,695","359,004","56.33","New York Stock Exchange Inc.","20,222,695.32"
"SE","SPECTRA ENERGY CORP","US8475601097","B1L60G9","1.3574","Energy","Equity","$16,057,770","554,481","28.96","New York Stock Exchange Inc.","16,057,769.76"
"PXD","PIONEER NATURAL RESOURCE","US7237871071","2690830","1.3095","Energy","Equity","$15,490,876","123,335","125.60","New York Stock Exchange Inc.","15,490,876.00"
"DVN","DEVON ENERGY CORP","US25179M1036","2480677","1.2668","Energy","Equity","$14,986,017","319,191","46.95","New York Stock Exchange Inc.","14,986,017.45"
"APA","APACHE CORP","US0374111054","2043962","1.1700","Energy","Equity","$13,841,327","311,461","44.44","New York Stock Exchange Inc.","13,841,326.84"
"NOV","NATIONAL OILWELL VARCO INC","US6370711011","2624486","1.0936","Energy","Equity","$12,936,500","320,369","40.38","New York Stock Exchange Inc.","12,936,500.22"
"LNG","CHENIERE ENERGY INC","US16411R2085","2654364","0.9992","Energy","Equity","$11,820,772","181,914","64.98","Nyse Mkt Llc","11,820,771.72"
"NBL","NOBLE ENERGY INC","US6550441058","2640761","0.9986","Energy","Equity","$11,813,308","353,586","33.41","New York Stock Exchange Inc.","11,813,308.26"
"HES","HESS CORP","US42809H1077","2023748","0.9538","Energy","Equity","$11,283,314","201,776","55.92","New York Stock Exchange Inc.","11,283,313.92"
"MRO","MARATHON OIL CORP","US5658491064","2910970","0.9326","Energy","Equity","$11,032,232","557,465","19.79","New York Stock Exchange Inc.","11,032,232.35"
