iShares U.S. Real Estate ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$4,319,371,019"
Shares Outstanding,"57,250,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"SPG","US8288061091","2812452","SIMON PROPERTY GROUP REIT INC","6.9736","Equity","Financials","$300,652,184","1,632,471","184.17","New York Stock Exchange Inc.","300,652,184.07"
"AMT","US03027X1000","B7FBFL2","AMERICAN TOWER REIT CORP","4.8204","Equity","Financials","$207,822,461","2,219,140","93.65","New York Stock Exchange Inc.","207,822,461.00"
"PSA","US74460D1090","2852533","PUBLIC STORAGE REIT","3.4327","Equity","Financials","$147,993,606","762,225","194.16","New York Stock Exchange Inc.","147,993,606.00"
"CCI","US22822V1017","BTGQCX1","CROWN CASTLE INTERNATIONAL REIT CO","3.3631","Equity","Financials","$144,994,767","1,753,262","82.70","New York Stock Exchange Inc.","144,994,767.40"
"EQR","US29476L1070","2319157","EQUITY RESIDENTIAL REIT","3.2512","Equity","Financials","$140,168,543","1,910,434","73.37","New York Stock Exchange Inc.","140,168,542.58"
"HCN","US42217K1060","2440961","HEALTH CARE REIT INC","3.0110","Equity","Financials","$129,814,267","1,835,090","70.74","New York Stock Exchange Inc.","129,814,266.60"
"VTR","US92276F1003","2927925","VENTAS REIT INC","2.8143","Equity","Financials","$121,334,584","1,786,960","67.90","New York Stock Exchange Inc.","121,334,584.00"
"AVB","US0534841012","2131179","AVALONBAY COMMUNITIES REIT INC","2.6466","Equity","Financials","$114,102,635","693,338","164.57","New York Stock Exchange Inc.","114,102,634.66"
"PLD","US74340W1036","B44WZD7","PROLOGIS REIT INC","2.5225","Equity","Financials","$108,753,755","2,689,262","40.44","New York Stock Exchange Inc.","108,753,755.28"
"BXP","US1011211018","2019479","BOSTON PROPERTIES REIT INC","2.4411","Equity","Financials","$105,242,462","804,360","130.84","New York Stock Exchange Inc.","105,242,462.40"
"HCP","US40414L1098","2417578","HCP REIT INC","2.1982","Equity","Financials","$94,771,580","2,419,494","39.17","New York Stock Exchange Inc.","94,771,579.98"
"VNO","US9290421091","2933632","VORNADO REALTY TRUST REIT","2.1469","Equity","Financials","$92,558,413","917,601","100.87","New York Stock Exchange Inc.","92,558,412.87"
"GGP","US3700231034","B56VLR5","GENERAL GROWTH PROPERTIES REIT INC","2.0868","Equity","Financials","$89,968,339","3,299,169","27.27","New York Stock Exchange Inc.","89,968,338.63"
"WY","US9621661043","2958936","WEYERHAEUSER REIT","2.0703","Equity","Financials","$89,258,481","2,756,593","32.38","New York Stock Exchange Inc.","89,258,481.34"
"HST","US44107P1049","2567503","HOST HOTELS & RESORTS REIT INC","1.8581","Equity","Financials","$80,106,850","3,977,500","20.14","New York Stock Exchange Inc.","80,106,850.00"
"ESS","US2971781057","2316619","ESSEX PROPERTY TRUST REIT INC","1.7541","Equity","Financials","$75,623,414","341,878","221.20","New York Stock Exchange Inc.","75,623,413.60"
"SLG","US78440X1019","2096847","SL GREEN REALTY REIT CORP","1.4550","Equity","Financials","$62,731,289","517,884","121.13","New York Stock Exchange Inc.","62,731,288.92"
"MAC","US5543821012","2543967","MACERICH REIT","1.4025","Equity","Financials","$60,466,016","739,103","81.81","New York Stock Exchange Inc.","60,466,016.43"
"CBG","US12504L1098","B6WVMH3","CBRE GROUP INC","1.3057","Equity","Financials","$56,291,170","1,468,593","38.33","New York Stock Exchange Inc.","56,291,169.69"
"O","US7561091049","2724193","REALTY INCOME REIT CORP","1.2751","Equity","Financials","$54,974,497","1,181,485","46.53","New York Stock Exchange Inc.","54,974,497.05"
"KIM","US49446R1095","2491594","KIMCO REALTY REIT CORP","1.2123","Equity","Financials","$52,265,315","2,165,989","24.13","New York Stock Exchange Inc.","52,265,314.57"
"NLY","US0357104092","2113456","ANNALY CAPITAL MANAGEMENT REIT INC","1.1550","Equity","Financials","$49,797,027","4,974,728","10.01","New York Stock Exchange Inc.","49,797,027.28"
"FRT","US3137472060","2333931","FEDERAL REALTY INVESTMENT TRUST RE","1.1059","Equity","Financials","$47,679,135","360,441","132.28","New York Stock Exchange Inc.","47,679,135.48"
"DLR","US2538681030","B03GQS4","DIGITAL REALTY TRUST REIT INC TRUS","1.0674","Equity","Financials","$46,017,233","711,460","64.68","New York Stock Exchange Inc.","46,017,232.80"
"UDR","US9026531049","2727910","UDR INC.","1.0342","Equity","Financials","$44,585,675","1,358,491","32.82","New York Stock Exchange Inc.","44,585,674.62"
"ARCP","US02917T1043","B4KS9Q0","AMERICAN REALTY CAPITAL PROPERTIES","0.9900","Equity","Financials","$42,683,336","4,766,425","8.96","NASDAQ","42,683,335.88"
"EXR","US30225T1025","B02HWR9","EXTRA SPACE STORAGE INC.","0.9161","Equity","Financials","$39,496,356","580,402","68.05","New York Stock Exchange Inc.","39,496,356.10"
"PCL","US7292511083","2692397","PLUM CREEK TIMBER COMPANY REIT INC","0.9102","Equity","Financials","$39,240,853","924,184","42.46","New York Stock Exchange Inc.","39,240,852.64"
