iShares U.S. Real Estate ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$4,512,359,089"
Shares Outstanding,"60,550,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"SPG","SIMON PROPERTY GROUP REIT INC","US8288061091","2812452","7.0800","Financials","Equity","$319,139,252","1,691,252","188.70","New York Stock Exchange Inc.","319,139,252.40"
"AMT","AMERICAN TOWER REIT CORP","US03027X1000","B7FBFL2","4.9290","Financials","Equity","$222,180,868","2,299,057","96.64","New York Stock Exchange Inc.","222,180,868.48"
"PSA","PUBLIC STORAGE REIT","US74460D1090","2852533","3.6004","Financials","Equity","$162,293,683","789,251","205.63","New York Stock Exchange Inc.","162,293,683.13"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","US22822V1017","BTGQCX1","3.3464","Financials","Equity","$150,841,894","1,833,944","82.25","New York Stock Exchange Inc.","150,841,894.00"
"EQR","EQUITY RESIDENTIAL REIT","US29476L1070","2319157","3.2688","Financials","Equity","$147,345,653","1,977,794","74.50","New York Stock Exchange Inc.","147,345,653.00"
"HCN","HEALTH CARE REIT INC","US42217K1060","2440961","2.9010","Financials","Equity","$130,763,855","1,907,569","68.55","New York Stock Exchange Inc.","130,763,854.95"
"AVB","AVALONBAY COMMUNITIES REIT INC","US0534841012","2131179","2.7461","Financials","Equity","$123,782,113","718,077","172.38","New York Stock Exchange Inc.","123,782,113.26"
"PLD","PROLOGIS REIT INC","US74340W1036","B44WZD7","2.5570","Financials","Equity","$115,257,409","2,847,268","40.48","New York Stock Exchange Inc.","115,257,408.64"
"VTR","VENTAS REIT INC","US92276F1003","2927925","2.5367","Financials","Equity","$114,343,966","1,721,270","66.43","New York Stock Exchange Inc.","114,343,966.10"
"BXP","BOSTON PROPERTIES REIT INC","US1011211018","2019479","2.2433","Financials","Equity","$101,118,867","833,695","121.29","New York Stock Exchange Inc.","101,118,866.55"
