iShares U.S. Technology ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$2,971,313,443"
Shares Outstanding,"27,550,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","US0378331005","2046251","APPLE INC","20.4116","Equity","Information Technology","$609,533,667","4,776,161","127.62","NASDAQ","609,533,666.82"
"MSFT","US5949181045","2588173","MICROSOFT CORP","10.7564","Equity","Information Technology","$321,210,812","6,726,928","47.75","NASDAQ","321,210,812.00"
"FB","US30303M1027","B7TL820","FACEBOOK CLASS A INC","4.5256","Equity","Information Technology","$135,143,817","1,721,358","78.51","NASDAQ","135,143,816.58"
"IBM","US4592001014","2005973","INTERNATIONAL BUSINESS MACHINES CO","4.3587","Equity","Information Technology","$130,159,449","753,761","172.68","New York Stock Exchange Inc.","130,159,449.48"
"GOOGL","US38259P5089","B020QX2","GOOGLE INC CLASS A","4.3045","Equity","Information Technology","$128,541,583","234,159","548.95","NASDAQ","128,541,583.05"
"INTC","US4581401001","2463247","INTEL CORPORATION CORP","4.2655","Equity","Information Technology","$127,377,685","3,883,466","32.80","NASDAQ","127,377,684.80"
"GOOG","US38259P7069","BKM4JZ7","GOOGLE INC CLASS C","4.2406","Equity","Information Technology","$126,635,093","235,285","538.22","NASDAQ","126,635,092.70"
"CSCO","US17275R1023","2198163","CISCO SYSTEMS INC","4.0972","Equity","Information Technology","$122,351,606","4,185,823","29.23","NASDAQ","122,351,606.29"
"ORCL","US68389X1054","2661568","ORACLE CORP","3.8740","Equity","Information Technology","$115,685,962","2,628,629","44.01","New York Stock Exchange Inc.","115,685,962.29"
"QCOM","US7475251036","2714923","QUALCOMM INC","3.1440","Equity","Information Technology","$93,885,632","1,352,624","69.41","NASDAQ","93,885,631.84"
"EBAY","US2786421030","2293819","EBAY INC","1.7785","Equity","Information Technology","$53,110,872","902,939","58.82","NASDAQ","53,110,871.98"
