iShares U.S. Technology ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$2,759,977,423"
Shares Outstanding,"26,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","APPLE INC","US0378331005","2046251","19.0059","Information Technology","Equity","$529,786,167","4,590,868","115.40","NASDAQ","529,786,167.20"
"MSFT","MICROSOFT CORP","US5949181045","2588173","11.0035","Information Technology","Equity","$306,721,235","6,446,432","47.58","NASDAQ","306,721,234.56"
"FB","FACEBOOK CLASS A INC","US30303M1027","B7TL820","5.8067","Information Technology","Equity","$161,861,424","1,678,364","96.44","NASDAQ","161,861,424.16"
"GOOGL","GOOGLE INC CLASS A","US38259P5089","B020QX2","5.5089","Information Technology","Equity","$153,558,597","228,072","673.29","NASDAQ","153,558,596.88"
"GOOG","GOOGLE INC CLASS C","US38259P7069","BKM4JZ7","5.2826","Information Technology","Equity","$147,250,512","228,728","643.78","NASDAQ","147,250,511.84"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","US4592001014","2005973","4.1339","Information Technology","Equity","$115,231,788","729,777","157.90","New York Stock Exchange Inc.","115,231,788.30"
"CSCO","CISCO SYSTEMS INC","US17275R1023","2198163","4.1103","Information Technology","Equity","$114,573,193","4,052,819","28.27","NASDAQ","114,573,193.13"
"INTC","INTEL CORPORATION CORP","US4581401001","2463247","3.9492","Information Technology","Equity","$110,084,578","3,780,377","29.12","NASDAQ","110,084,578.24"
"ORCL","ORACLE CORP","US68389X1054","2661568","3.6126","Information Technology","Equity","$100,701,535","2,540,402","39.64","New York Stock Exchange Inc.","100,701,535.28"
"QCOM","QUALCOMM INC","US7475251036","2714923","2.9759","Information Technology","Equity","$82,951,885","1,298,558","63.88","NASDAQ","82,951,885.04"
"HPQ","HEWLETT PACKARD","US4282361033","2424006","1.5647","Information Technology","Equity","$43,615,456","1,439,454","30.30","New York Stock Exchange Inc.","43,615,456.20"
"TXN","TEXAS INSTRUMENTS INCORPORATED","US8825081040","2885409","1.5125","Information Technology","Equity","$42,159,812","829,020","50.85","NASDAQ","42,159,812.10"
"EMC","EMC CORP","US2686481027","2295172","1.4906","Information Technology","Equity","$41,551,530","1,547,543","26.85","New York Stock Exchange Inc.","41,551,529.55"
"CRM","SALESFORCE.COM INC","US79466L3024","2310525","1.2641","Information Technology","Equity","$35,236,234","485,816","72.53","New York Stock Exchange Inc.","35,236,234.48"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","US1924461023","2257019","1.1753","Information Technology","Equity","$32,760,506","486,494","67.34","NASDAQ","32,760,505.96"
"ADBE","ADOBE SYSTEM INC","US00724F1012","2008154","1.1328","Information Technology","Equity","$31,576,173","378,702","83.38","NASDAQ","31,576,172.76"
"YHOO","YAHOO! INC","US9843321061","2986539","0.9294","Information Technology","Equity","$25,905,401","695,447","37.25","NASDAQ","25,905,400.75"
"AVGO","AVAGO TECHNOLOGIES LTD","SG9999006241","B3WS2X9","0.9266","Information Technology","Equity","$25,828,739","207,044","124.75","NASDAQ","25,828,739.00"
"EBAY","EBAY INC","US2786421030","2293819","0.9026","Information Technology","Equity","$25,159,903","880,949","28.56","NASDAQ","25,159,903.44"
"INTU","INTUIT INC","US4612021034","2459020","0.8415","Information Technology","Equity","$23,455,935","219,666","106.78","NASDAQ","23,455,935.48"
"BRCM","BROADCOM CORP CLASS A","US1113201073","2235822","0.7846","Information Technology","Equity","$21,871,124","433,349","50.47","NASDAQ","21,871,124.03"
"GLW","CORNING INC","US2193501051","2224701","0.6609","Information Technology","Equity","$18,422,189","1,002,841","18.37","New York Stock Exchange Inc.","18,422,189.17"
"AMAT","APPLIED MATERIAL INC","US0382221051","2046552","0.5996","Information Technology","Equity","$16,712,425","981,352","17.03","NASDAQ","16,712,424.56"
"CERN","CERNER CORP","US1567821046","2185284","0.5891","Health Care","Equity","$16,421,402","244,003","67.30","NASDAQ","16,421,401.90"
"MU","MICRON TECHNOLOGY INC","US5951121038","2588184","0.5823","Information Technology","Equity","$16,232,703","858,419","18.91","NASDAQ","16,232,703.29"
"ADI","ANALOG DEVICES INC","US0326541051","2032067","0.5440","Information Technology","Equity","$15,164,681","249,830","60.70","NASDAQ","15,164,681.00"
"WDC","WESTERN DIGITAL CORP","US9581021055","2954699","0.5255","Information Technology","Equity","$14,647,305","172,952","84.69","NASDAQ","14,647,304.88"
"SWKS","SKYWORKS SOLUTIONS INC","US83088M1027","2961053","0.4859","Information Technology","Equity","$13,545,228","152,262","88.96","NASDAQ","13,545,227.52"
"STX","SEAGATE TECHNOLOGY PLC","IE00B58JVZ52","B58JVZ5","0.4705","Information Technology","Equity","$13,114,305","252,879","51.86","NASDAQ","13,114,304.94"
